Gene stable ID	Gene type	Gene name
ENSG00000273587	snoRNA	SNORA78
ENSG00000272034	snoRNA	SNORD14A
ENSG00000206811	snoRNA	SNORA10
ENSG00000252906	scaRNA	SCARNA3
ENSG00000225091	snoRNA	SNORA71A
ENSG00000271798	snoRNA	SNORA51
ENSG00000207313	snoRNA	SNORA2B
ENSG00000212135	snoRNA	SNORD67
ENSG00000275043	snoRNA	SNORD25
ENSG00000209480	snoRNA	SNORD83B
ENSG00000239195	snoRNA	SNORD5
ENSG00000277457	protein_coding	LENG1
ENSG00000278257	protein_coding	LENG1
ENSG00000284535	miRNA	MIR6748
ENSG00000275770	miRNA	MIR6505
ENSG00000284541	miRNA	MIR4517
ENSG00000200623	snoRNA	SNORD18A
ENSG00000284310	miRNA	MIR939
ENSG00000284481	miRNA	MIR1292
ENSG00000277614	protein_coding	SCG5
ENSG00000264616	miRNA	MIR4755
ENSG00000263712	miRNA	MIR4639
ENSG00000276404	miRNA	MIR6835
ENSG00000280706	protein_coding	REXO4
ENSG00000274012	misc_RNA	RN7SL2
ENSG00000266719	miRNA	MIR4676
ENSG00000284289	miRNA	MIR6820
ENSG00000274969	miRNA	MIR6771
ENSG00000274306	miRNA	MIR5088
ENSG00000200084	snoRNA	SNORD68
ENSG00000201512	snoRNA	SNORA71C
ENSG00000275072	snoRNA	SNORD50B
ENSG00000283770	miRNA	MIR6849
ENSG00000207870	miRNA	MIR221
ENSG00000252010	scaRNA	SCARNA5
ENSG00000212232	snoRNA	SNORD17
ENSG00000278274	snoRNA	SNORA61
ENSG00000210825	snoRNA	SNORA40
ENSG00000207523	snoRNA	SNORA66
ENSG00000264049	miRNA	MIR4737
ENSG00000274672	protein_coding	TSEN34
ENSG00000221585	miRNA	MIR1226
ENSG00000199631	snoRNA	SNORD33
ENSG00000200959	snoRNA	SNORA74A
ENSG00000238317	snoRNA	SNORD11
ENSG00000199574	snoRNA	SNORD18C
ENSG00000251815	snoRNA	SNORD116-26
ENSG00000207304	snoRNA	SNORA8
ENSG00000264229	snRNA	RNU4ATAC
ENSG00000281859	snoRNA	SNORD38B
ENSG00000265102	miRNA	MIR3942
ENSG00000283933	miRNA	MIR6878
ENSG00000265954	miRNA	MIR4749
ENSG00000283759	miRNA	MIR614
ENSG00000263813	miRNA	MIR3679
ENSG00000264279	miRNA	MIR4786
ENSG00000207554	miRNA	MIR647
ENSG00000284446	miRNA	MIR1236
ENSG00000284200	miRNA	MIR6847
ENSG00000207241	snoRNA	SNORD45A
ENSG00000281244	protein_coding	ADAMTS13
ENSG00000275143	scaRNA	SCARNA16
ENSG00000206799	snoRNA	SNORA32
ENSG00000265707	snoRNA	SNORD52
ENSG00000201302	snoRNA	SNORA65
ENSG00000238886	snoRNA	SNORD121A
ENSG00000207112	snoRNA	SNORA25
ENSG00000206763	snRNA	RNU6-10P
ENSG00000275917	protein_coding	CHRFAM7A
ENSG00000200879	snoRNA	SNORD14E
ENSG00000238363	snoRNA	SNORA13
ENSG00000221643	snoRNA	SNORA77
ENSG00000206760	snoRNA	SNORA6
ENSG00000252712	scaRNA	SCARNA14
ENSG00000284410	miRNA	MIR6733
ENSG00000273758	miRNA	MIR6790
ENSG00000206910	snoRNA	SNORA29
ENSG00000199024	miRNA	MIR103A2
ENSG00000207181	snoRNA	SNORA14B
ENSG00000216101	miRNA	MIR877
ENSG00000207547	miRNA	MIR25
ENSG00000276211	protein_coding	GP6
ENSG00000283724	miRNA	MIR6732
ENSG00000283710	miRNA	MIR1204
ENSG00000202363	snoRNA	SNORA62
ENSG00000284152	miRNA	MIR6758
ENSG00000264342	miRNA	MIR3660
ENSG00000276770	miRNA	MIR6780B
ENSG00000281230	protein_coding	SERTAD4
ENSG00000239039	snoRNA	SNORD13
ENSG00000238423	snoRNA	SNORD42B
ENSG00000284435	miRNA	MIR4691
ENSG00000277842	miRNA	MIR6811
ENSG00000207595	miRNA	MIR181A2
ENSG00000202314	snoRNA	SNORD6
ENSG00000229686	snoRNA	SNORD56
ENSG00000212304	snoRNA	SNORD12
ENSG00000273833	protein_coding	TFPT
ENSG00000266315	miRNA	MIR4668
ENSG00000158796	protein_coding	DEDD
ENSG00000198860	protein_coding	TSEN15
ENSG00000117335	protein_coding	CD46
ENSG00000185155	protein_coding	MIXL1
ENSG00000158793	protein_coding	NIT1
ENSG00000084072	protein_coding	PPIE
ENSG00000182827	protein_coding	ACBD3
ENSG00000198756	protein_coding	COLGALT2
ENSG00000173627	protein_coding	APOBEC4
ENSG00000196155	protein_coding	PLEKHG4
ENSG00000111647	protein_coding	UHRF1BP1L
ENSG00000131791	protein_coding	PRKAB2
ENSG00000101310	protein_coding	SEC23B
ENSG00000284770	protein_coding	TBCE
ENSG00000172954	protein_coding	LCLAT1
ENSG00000224897	processed_transcript	POT1-AS1
ENSG00000090615	protein_coding	GOLGA3
ENSG00000175087	protein_coding	PDIK1L
ENSG00000108423	protein_coding	TUBD1
ENSG00000196458	protein_coding	ZNF605
ENSG00000179008	protein_coding	C14orf39
ENSG00000143344	protein_coding	RGL1
ENSG00000176383	protein_coding	B3GNT4
ENSG00000065548	protein_coding	ZC3H15
ENSG00000152904	protein_coding	GGPS1
ENSG00000233429	antisense	HOTAIRM1
ENSG00000128513	protein_coding	POT1
ENSG00000285053	protein_coding	TBCE
ENSG00000114933	protein_coding	INO80D
ENSG00000265354	protein_coding	TIMM23
ENSG00000105991	protein_coding	HOXA1
ENSG00000139719	protein_coding	VPS33A
ENSG00000117523	protein_coding	PRRC2C
ENSG00000284934	protein_coding	DIABLO
ENSG00000116983	protein_coding	HPCAL4
ENSG00000162885	protein_coding	B3GALNT2
ENSG00000186517	protein_coding	ARHGAP30
ENSG00000110906	protein_coding	KCTD10
ENSG00000070770	protein_coding	CSNK2A2
ENSG00000139636	protein_coding	LMBR1L
ENSG00000237877	lincRNA	LINC01473
ENSG00000174527	protein_coding	MYO1H
ENSG00000144233	protein_coding	AMMECR1L
ENSG00000144231	protein_coding	POLR2D
ENSG00000162704	protein_coding	ARPC5
ENSG00000072609	protein_coding	CHFR
ENSG00000213420	protein_coding	GPC2
ENSG00000148688	protein_coding	RPP30
ENSG00000116473	protein_coding	RAP1A
ENSG00000184047	protein_coding	DIABLO
ENSG00000197093	protein_coding	GAL3ST4
ENSG00000054267	protein_coding	ARID4B
ENSG00000112531	protein_coding	QKI
ENSG00000168439	protein_coding	STIP1
ENSG00000188739	protein_coding	RBM34
ENSG00000231346	lincRNA	LINC01160
ENSG00000064703	protein_coding	DDX20
ENSG00000213337	protein_coding	ANKRD39
ENSG00000158773	protein_coding	USF1
ENSG00000169683	protein_coding	LRRC45
ENSG00000168763	protein_coding	CNNM3
ENSG00000188738	protein_coding	FSIP2
ENSG00000146416	protein_coding	AIG1
ENSG00000173227	protein_coding	SYT12
ENSG00000163041	protein_coding	H3F3A
ENSG00000213626	protein_coding	LBH
ENSG00000163126	protein_coding	ANKRD23
ENSG00000116981	protein_coding	NT5C1A
ENSG00000153201	protein_coding	RANBP2
ENSG00000167861	protein_coding	HID1
ENSG00000143110	protein_coding	C1orf162
ENSG00000175727	protein_coding	MLXIP
ENSG00000048649	protein_coding	RSF1
ENSG00000100614	protein_coding	PPM1A
ENSG00000134853	protein_coding	PDGFRA
ENSG00000070761	protein_coding	CFAP20
ENSG00000094914	protein_coding	AAAS
ENSG00000158008	protein_coding	EXTL1
ENSG00000109220	protein_coding	CHIC2
ENSG00000249307	processed_transcript	LINC01088
ENSG00000163002	protein_coding	NUP35
ENSG00000156269	protein_coding	NAA11
ENSG00000170775	protein_coding	GPR37
ENSG00000072201	protein_coding	LNX1
ENSG00000229585	processed_pseudogene	RPL21P44
ENSG00000162999	protein_coding	DUSP19
ENSG00000248494	sense_intronic	LNX1-AS2
ENSG00000166676	protein_coding	TVP23A
ENSG00000182040	protein_coding	USH1G
ENSG00000077264	protein_coding	PAK3
ENSG00000215845	protein_coding	TSTD1
ENSG00000145216	protein_coding	FIP1L1
ENSG00000160789	protein_coding	LMNA
ENSG00000059588	protein_coding	TARBP1
ENSG00000268043	protein_coding	NBPF12
ENSG00000116455	protein_coding	WDR77
ENSG00000196961	protein_coding	AP2A1
ENSG00000085465	protein_coding	OVGP1
ENSG00000168275	protein_coding	COA6
ENSG00000135750	protein_coding	KCNK1
ENSG00000158104	protein_coding	HPD
ENSG00000116698	protein_coding	SMG7
ENSG00000145348	protein_coding	TBCK
ENSG00000015153	protein_coding	YAF2
ENSG00000010818	protein_coding	HIVEP2
ENSG00000157064	protein_coding	NMNAT2
ENSG00000188735	protein_coding	TMEM120B
ENSG00000058085	protein_coding	LAMC2
ENSG00000169446	protein_coding	MMGT1
ENSG00000100612	protein_coding	DHRS7
ENSG00000178074	protein_coding	C2orf69
ENSG00000114670	protein_coding	NEK11
ENSG00000139220	protein_coding	PPFIA2
ENSG00000135829	protein_coding	DHX9
ENSG00000075945	protein_coding	KIFAP3
ENSG00000165288	protein_coding	BRWD3
ENSG00000185842	protein_coding	DNAH14
ENSG00000110583	protein_coding	NAA40
ENSG00000162736	protein_coding	NCSTN
ENSG00000162066	protein_coding	AMDHD2
ENSG00000135775	protein_coding	COG2
ENSG00000130766	protein_coding	SESN2
ENSG00000177614	protein_coding	PGBD5
ENSG00000188153	protein_coding	COL4A5
ENSG00000188993	protein_coding	LRRC66
ENSG00000110090	protein_coding	CPT1A
ENSG00000120055	protein_coding	C10orf95
ENSG00000117479	protein_coding	SLC19A2
ENSG00000135763	protein_coding	URB2
ENSG00000144426	protein_coding	NBEAL1
ENSG00000104881	protein_coding	PPP1R13L
ENSG00000118503	protein_coding	TNFAIP3
ENSG00000110851	protein_coding	PRDM4
ENSG00000107874	protein_coding	CUEDC2
ENSG00000230316	antisense	FEZF1-AS1
ENSG00000271601	protein_coding	LIX1L
ENSG00000258655	antisense	ARHGAP5-AS1
ENSG00000198598	protein_coding	MMP17
ENSG00000101134	protein_coding	DOK5
ENSG00000227825	transcribed_processed_pseudogene	SLC9A7P1
ENSG00000131779	protein_coding	PEX11B
ENSG00000198156	protein_coding	NPIPB6
ENSG00000143632	protein_coding	ACTA1
ENSG00000174243	protein_coding	DDX23
ENSG00000121851	protein_coding	POLR3GL
ENSG00000012061	protein_coding	ERCC1
ENSG00000115541	protein_coding	HSPE1
ENSG00000188322	protein_coding	SBK1
ENSG00000211451	transcribed_unitary_pseudogene	GNRHR2
ENSG00000183454	protein_coding	GRIN2A
ENSG00000100852	protein_coding	ARHGAP5
ENSG00000230257	protein_coding	NFE4
ENSG00000272031	protein_coding	ANKRD34A
ENSG00000123600	protein_coding	METTL8
ENSG00000274078	protein_coding	TSEN34
ENSG00000275568	protein_coding	ARHGAP11A
ENSG00000266509	miRNA	MIR3934
ENSG00000284129	miRNA	MIR6789
ENSG00000162494	protein_coding	LRRC38
ENSG00000144355	protein_coding	DLX1
ENSG00000266412	protein_coding	NCOA4
ENSG00000168676	protein_coding	KCTD19
ENSG00000143256	protein_coding	PFDN2
ENSG00000116667	protein_coding	C1orf21
ENSG00000127325	protein_coding	BEST3
ENSG00000183814	protein_coding	LIN9
ENSG00000163006	protein_coding	CCDC138
ENSG00000166153	protein_coding	DEPDC4
ENSG00000139168	protein_coding	ZCRB1
ENSG00000238105	transcribed_unprocessed_pseudogene	GOLGA2P5
ENSG00000023228	protein_coding	NDUFS1
ENSG00000182108	protein_coding	DEXI
ENSG00000075089	protein_coding	ACTR6
ENSG00000144369	protein_coding	FAM171B
ENSG00000139174	protein_coding	PRICKLE1
ENSG00000138448	protein_coding	ITGAV
ENSG00000131778	protein_coding	CHD1L
ENSG00000197245	protein_coding	FAM110D
ENSG00000138279	protein_coding	ANXA7
ENSG00000117533	protein_coding	VAMP4
ENSG00000130294	protein_coding	KIF1A
ENSG00000109089	protein_coding	CDR2L
ENSG00000155729	protein_coding	KCTD18
ENSG00000127720	protein_coding	METTL25
ENSG00000087884	protein_coding	AAMDC
ENSG00000142684	protein_coding	ZNF593
ENSG00000133773	protein_coding	CCDC59
ENSG00000189007	protein_coding	ADAT2
ENSG00000134283	protein_coding	PPHLN1
ENSG00000149262	protein_coding	INTS4
ENSG00000143222	protein_coding	UFC1
ENSG00000264204	unprocessed_pseudogene	AGAP7P
ENSG00000240602	transcribed_unprocessed_pseudogene	AADACP1
ENSG00000114771	protein_coding	AADAC
ENSG00000166343	protein_coding	MSS51
ENSG00000105996	protein_coding	HOXA2
ENSG00000136021	protein_coding	SCYL2
ENSG00000077044	protein_coding	DGKD
ENSG00000106006	protein_coding	HOXA6
ENSG00000003436	protein_coding	TFPI
ENSG00000253552	antisense	HOXA-AS2
ENSG00000106004	protein_coding	HOXA5
ENSG00000138356	protein_coding	AOX1
ENSG00000105997	protein_coding	HOXA3
ENSG00000197576	protein_coding	HOXA4
ENSG00000122592	protein_coding	HOXA7
ENSG00000180867	transcribed_processed_pseudogene	PDIA3P1
ENSG00000155011	protein_coding	DKK2
ENSG00000237580	processed_pseudogene	GCSHP3
ENSG00000131781	protein_coding	FMO5
ENSG00000143799	protein_coding	PARP1
ENSG00000160785	protein_coding	SLC25A44
ENSG00000116406	protein_coding	EDEM3
ENSG00000132793	protein_coding	LPIN3
ENSG00000143258	protein_coding	USP21
ENSG00000163297	protein_coding	ANTXR2
ENSG00000136715	protein_coding	SAP130
ENSG00000160781	protein_coding	PAQR6
ENSG00000179104	protein_coding	TMTC2
ENSG00000121481	protein_coding	RNF2
ENSG00000135845	protein_coding	PIGC
ENSG00000230630	antisense	DNM3OS
ENSG00000197959	protein_coding	DNM3
ENSG00000072133	protein_coding	RPS6KA6
ENSG00000072041	protein_coding	SLC6A15
ENSG00000151148	protein_coding	UBE3B
ENSG00000185591	protein_coding	SP1
ENSG00000160783	protein_coding	PMF1
ENSG00000103021	protein_coding	CCDC113
ENSG00000158850	protein_coding	B4GALT3
ENSG00000143224	protein_coding	PPOX
ENSG00000165259	protein_coding	HDX
ENSG00000152256	protein_coding	PDK1
ENSG00000180901	protein_coding	KCTD2
ENSG00000022267	protein_coding	FHL1
ENSG00000082153	protein_coding	BZW1
ENSG00000173120	protein_coding	KDM2A
ENSG00000168758	protein_coding	SEMA4C
ENSG00000091409	protein_coding	ITGA6
ENSG00000240038	protein_coding	AMY2B
ENSG00000236085	processed_pseudogene	ACTG1P4
ENSG00000144366	protein_coding	GULP1
ENSG00000185946	protein_coding	RNPC3
ENSG00000125821	protein_coding	DTD1
ENSG00000112539	protein_coding	C6orf118
ENSG00000181938	protein_coding	GINS3
ENSG00000231738	protein_coding	TSPAN19
ENSG00000166348	protein_coding	USP54
ENSG00000133640	protein_coding	LRRIQ1
ENSG00000114942	protein_coding	EEF1B2
ENSG00000180917	protein_coding	CMTR2
ENSG00000107758	protein_coding	PPP3CB
ENSG00000158864	protein_coding	NDUFS2
ENSG00000127328	protein_coding	RAB3IP
ENSG00000183671	protein_coding	GPR1
ENSG00000179603	protein_coding	GRM8
ENSG00000144591	protein_coding	GMPPA
ENSG00000198774	protein_coding	RASSF9
ENSG00000121486	protein_coding	TRMT1L
ENSG00000152784	protein_coding	PRDM8
ENSG00000204186	protein_coding	ZDBF2
ENSG00000182050	protein_coding	MGAT4C
ENSG00000139354	protein_coding	GAS2L3
ENSG00000116668	protein_coding	SWT1
ENSG00000258128	transcribed_processed_pseudogene	MKRN9P
ENSG00000158869	protein_coding	FCER1G
ENSG00000094975	protein_coding	SUCO
ENSG00000168243	protein_coding	GNG4
ENSG00000111596	protein_coding	CNOT2
ENSG00000114948	protein_coding	ADAM23
ENSG00000072195	protein_coding	SPEG
ENSG00000205352	protein_coding	PRR13
ENSG00000168542	protein_coding	COL3A1
ENSG00000143971	protein_coding	ETAA1
ENSG00000213413	protein_coding	PVRIG
ENSG00000139625	protein_coding	MAP3K12
ENSG00000066923	protein_coding	STAG3
ENSG00000116133	protein_coding	DHCR24
ENSG00000139428	protein_coding	MMAB
ENSG00000197111	protein_coding	PCBP2
ENSG00000143669	protein_coding	LYST
ENSG00000174059	protein_coding	CD34
ENSG00000110921	protein_coding	MVK
ENSG00000076356	protein_coding	PLXNA2
ENSG00000117586	protein_coding	TNFSF4
ENSG00000257613	lincRNA	LINC01481
ENSG00000116679	protein_coding	IVNS1ABP
ENSG00000117592	protein_coding	PRDX6
ENSG00000162804	protein_coding	SNED1
ENSG00000282977	non_coding	PCBP2-OT1
ENSG00000198952	protein_coding	SMG5
ENSG00000198707	protein_coding	CEP290
ENSG00000120800	protein_coding	UTP20
ENSG00000136731	protein_coding	UGGT1
ENSG00000257097	lincRNA	CLIP1-AS1
ENSG00000130779	protein_coding	CLIP1
ENSG00000163472	protein_coding	TMEM79
ENSG00000198715	protein_coding	GLMP
ENSG00000118246	protein_coding	FASTKD2
ENSG00000183831	protein_coding	ANKRD45
ENSG00000122085	protein_coding	MTERF4
ENSG00000138400	protein_coding	MDH1B
ENSG00000172137	protein_coding	CALB2
ENSG00000155008	protein_coding	APOOL
ENSG00000133641	protein_coding	C12orf29
ENSG00000116962	protein_coding	NID1
ENSG00000143341	protein_coding	HMCN1
ENSG00000137726	protein_coding	FXYD6
ENSG00000091428	protein_coding	RAPGEF4
ENSG00000147180	protein_coding	ZNF711
ENSG00000139438	protein_coding	FAM222A
ENSG00000240344	protein_coding	PPIL3
ENSG00000255650	antisense	FAM222A-AS1
ENSG00000144410	protein_coding	CPO
ENSG00000077585	protein_coding	GPR137B
ENSG00000118263	protein_coding	KLF7
ENSG00000186197	protein_coding	EDARADD
ENSG00000123989	protein_coding	CHPF
ENSG00000013441	protein_coding	CLK1
ENSG00000144199	protein_coding	FAHD2B
ENSG00000158882	protein_coding	TOMM40L
ENSG00000188760	protein_coding	TMEM198
ENSG00000142675	protein_coding	CNKSR1
ENSG00000118260	protein_coding	CREB1
ENSG00000163467	protein_coding	TSACC
ENSG00000143257	protein_coding	NR1I3
ENSG00000196878	protein_coding	LAMB3
ENSG00000147123	protein_coding	NDUFB11
ENSG00000182872	protein_coding	RBM10
ENSG00000163468	protein_coding	CCT3
ENSG00000120805	protein_coding	ARL1
ENSG00000115687	protein_coding	PASK
ENSG00000033030	protein_coding	ZCCHC8
ENSG00000144401	protein_coding	METTL21A
ENSG00000076321	protein_coding	KLHL20
ENSG00000125458	protein_coding	NT5C
ENSG00000188419	protein_coding	CHM
ENSG00000123689	protein_coding	G0S2
ENSG00000115685	protein_coding	PPP1R7
ENSG00000125449	protein_coding	ARMC7
ENSG00000116690	protein_coding	PRG4
ENSG00000124006	protein_coding	OBSL1
ENSG00000047410	protein_coding	TPR
ENSG00000129116	protein_coding	PALLD
ENSG00000185278	protein_coding	ZBTB37
ENSG00000111011	protein_coding	RSRC2
ENSG00000152601	protein_coding	MBNL1
ENSG00000120334	protein_coding	CENPL
ENSG00000111199	protein_coding	TRPV4
ENSG00000144354	protein_coding	CDCA7
ENSG00000270084	antisense	GAS5-AS1
ENSG00000135976	protein_coding	ANKRD36
ENSG00000117593	protein_coding	DARS2
ENSG00000145439	protein_coding	CBR4
ENSG00000181381	protein_coding	DDX60L
ENSG00000234741	processed_transcript	GAS5
ENSG00000009790	protein_coding	TRAF3IP3
ENSG00000125462	protein_coding	C1orf61
ENSG00000229619	antisense	MBNL1-AS1
ENSG00000204262	protein_coding	COL5A2
ENSG00000172845	protein_coding	SP3
ENSG00000112541	protein_coding	PDE10A
ENSG00000116977	protein_coding	LGALS8
ENSG00000162757	protein_coding	C1orf74
ENSG00000111669	protein_coding	TPI1
ENSG00000144589	protein_coding	STK11IP
ENSG00000085514	protein_coding	PILRA
ENSG00000135643	protein_coding	KCNMB4
ENSG00000248593	transcribed_unprocessed_pseudogene	DSTNP2
ENSG00000010626	protein_coding	LRRC23
ENSG00000115368	protein_coding	WDR75
ENSG00000185052	protein_coding	SLC24A3
ENSG00000121716	protein_coding	PILRB
ENSG00000138449	protein_coding	SLC40A1
ENSG00000240370	transcribed_processed_pseudogene	RPL13P5
ENSG00000111674	protein_coding	ENO2
ENSG00000138675	protein_coding	FGF5
ENSG00000196290	protein_coding	NIF3L1
ENSG00000139324	protein_coding	TMTC3
ENSG00000111671	protein_coding	SPSB2
ENSG00000184445	protein_coding	KNTC1
ENSG00000242294	transcribed_unprocessed_pseudogene	STAG3L5P
ENSG00000138381	protein_coding	ASNSD1
ENSG00000078319	unprocessed_pseudogene	PMS2P1
ENSG00000174938	protein_coding	SEZ6L2
ENSG00000127329	protein_coding	PTPRB
ENSG00000272752	processed_transcript	STAG3L5P-PVRIG2P-PILRB
ENSG00000214300	protein_coding	SPDYE3
ENSG00000119285	protein_coding	HEATR1
ENSG00000253559	antisense	OSGEPL1-AS1
ENSG00000151687	protein_coding	ANKAR
ENSG00000155744	protein_coding	FAM126B
ENSG00000128694	protein_coding	OSGEPL1
