hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,mean_padj,cilow_padj,ciupp_padj,mean_pval,cilow_pval,ciupp_pval,mean_sim,sem_sim
CREBBP,2348,protein acetylation,GO:0006473,biological process,50.0,10.0,8.661e-02,2.462e-02,3.047e-01,7.174e-02,1.494e-02,3.445e-01,7.353e-01,5.067e-02
CREBBP,2348,histone acetylation,GO:0016573,biological process,50.0,8.0,8.813e-02,2.744e-02,2.830e-01,7.183e-02,1.701e-02,3.033e-01,7.370e-01,4.114e-02
CREBBP,2348,nuclear chromatin,GO:0000790,cellular component,50.0,14.0,4.833e-02,2.574e-02,9.074e-02,8.624e-03,2.215e-03,3.358e-02,9.274e-01,1.832e-02
CREBBP,2348,nucleus,GO:0005634,cellular component,50.0,151.0,5.299e-02,3.304e-02,8.500e-02,2.389e-02,1.204e-02,4.741e-02,8.610e-01,1.508e-02
CREBBP,2348,nucleoplasm,GO:0005654,cellular component,50.0,74.0,5.299e-02,3.304e-02,8.500e-02,3.186e-02,1.901e-02,5.337e-02,8.337e-01,1.257e-02
CREBBP,2348,cytoplasm,GO:0005737,cellular component,50.0,69.0,5.299e-02,3.304e-02,8.500e-02,3.457e-02,1.647e-02,7.259e-02,8.250e-01,1.814e-02
CREBBP,2348,nuclear body,GO:0016604,cellular component,50.0,30.0,6.801e-02,2.753e-02,1.680e-01,5.623e-02,2.179e-02,1.451e-01,7.703e-01,2.781e-02
CREBBP,2348,RNA polymerase II transcription factor binding,GO:0001085,molecular function,50.0,6.0,4.781e-02,2.640e-02,8.659e-02,2.818e-03,1.006e-03,7.893e-03,9.738e-01,5.598e-03
CREBBP,2348,p53 binding,GO:0002039,molecular function,50.0,5.0,4.781e-02,2.640e-02,8.659e-02,5.018e-03,3.766e-03,6.685e-03,9.558e-01,3.002e-03
CREBBP,2348,transcription factor binding,GO:0008134,molecular function,50.0,19.0,4.990e-02,2.850e-02,8.737e-02,8.954e-03,8.048e-03,9.961e-03,9.295e-01,1.302e-03
CREBBP,2348,transcription corepressor activity,GO:0003714,molecular function,50.0,6.0,5.044e-02,2.786e-02,9.134e-02,1.387e-02,9.302e-03,2.069e-02,9.052e-01,6.439e-03
CREBBP,2348,proximal promoter sequence-specific DNA binding,GO:0000987,molecular function,50.0,5.0,5.044e-02,2.786e-02,9.134e-02,1.756e-02,6.303e-03,4.894e-02,8.841e-01,1.737e-02
CREBBP,2348,transcription coactivator activity,GO:0003713,molecular function,50.0,8.0,5.169e-02,3.042e-02,8.785e-02,2.109e-02,1.505e-02,2.955e-02,8.734e-01,6.988e-03
CREBBP,2348,protein binding,GO:0005515,molecular function,50.0,332.0,5.299e-02,3.304e-02,8.500e-02,3.435e-02,2.247e-02,5.251e-02,8.268e-01,1.032e-02
CREBBP,2348,chromatin binding,GO:0003682,molecular function,50.0,17.0,5.299e-02,3.304e-02,8.500e-02,3.519e-02,2.056e-02,6.022e-02,8.232e-01,1.354e-02
CREBBP,2348,damaged DNA binding,GO:0003684,molecular function,50.0,6.0,5.545e-02,2.936e-02,1.047e-01,2.807e-02,6.916e-03,1.139e-01,8.409e-01,2.947e-02
CREBBP,2348,MRF binding,GO:0043426,molecular function,50.0,2.0,6.391e-02,3.030e-02,1.348e-01,4.082e-02,8.721e-03,1.910e-01,8.025e-01,3.732e-02
CREBBP,2348,histone acetyltransferase activity,GO:0004402,molecular function,50.0,6.0,9.934e-02,2.472e-02,3.993e-01,8.606e-02,1.606e-02,4.611e-01,7.110e-01,5.065e-02
CREBBP,2348,acetyltransferase activity,GO:0016407,molecular function,50.0,12.0,1.282e-01,1.631e-02,1.008e+00,1.190e-01,1.371e-02,1.033e+00,6.524e-01,8.183e-02
ZNF263,13056,"negative regulation of transcription, DNA-templated",GO:0045892,biological process,5.0,41.0,3.743e-02,1.983e-02,7.065e-02,1.426e-02,3.767e-03,5.398e-02,8.977e-01,1.931e-02
ZNF263,13056,negative regulation of transcription by RNA polymerase II,GO:0000122,biological process,5.0,54.0,6.420e-02,4.830e-02,8.535e-02,5.833e-02,3.475e-02,9.792e-02,7.677e-01,1.463e-02
ZNF263,13056,sequence-specific DNA binding,GO:0043565,molecular function,5.0,12.0,4.388e-02,3.688e-02,5.221e-02,2.162e-02,1.625e-02,2.876e-02,8.712e-01,6.019e-03
ZNF263,13056,protein binding,GO:0005515,molecular function,5.0,332.0,5.330e-02,3.539e-02,8.027e-02,4.754e-02,2.341e-02,9.655e-02,7.905e-01,1.855e-02
KDM7A,22224,,,,nan,nan,,,,,,,,
DBF4,17364,positive regulation of nuclear cell cycle DNA replication,GO:0010571,biological process,12.0,8.0,3.723e-02,2.471e-02,5.609e-02,1.396e-02,3.361e-03,5.801e-02,8.971e-01,2.525e-02
DBF4,17364,regulation of cell cycle phase transition,GO:1901987,biological process,12.0,9.0,3.756e-02,2.479e-02,5.690e-02,2.423e-02,1.112e-02,5.280e-02,8.594e-01,1.731e-02
DBF4,17364,Dbf4-dependent protein kinase complex,GO:0031431,cellular component,12.0,2.0,4.072e-02,1.177e-02,1.408e-01,1.402e-02,6.070e-04,3.238e-01,8.741e-01,6.235e-02
DBF4,17364,nuclear body,GO:0016604,cellular component,12.0,30.0,5.613e-02,2.721e-02,1.158e-01,4.016e-02,1.124e-02,1.435e-01,8.065e-01,3.396e-02
DBF4,17364,nucleus,GO:0005634,cellular component,12.0,151.0,5.836e-02,2.940e-02,1.158e-01,3.590e-02,8.469e-03,1.522e-01,8.166e-01,3.418e-02
DBF4,17364,protein serine/threonine kinase activator activity,GO:0043539,molecular function,12.0,4.0,3.756e-02,2.479e-02,5.690e-02,2.373e-02,1.047e-02,5.381e-02,8.609e-01,1.774e-02
DBF4,17364,protein binding,GO:0005515,molecular function,12.0,332.0,6.561e-02,3.195e-02,1.347e-01,5.624e-02,1.629e-02,1.942e-01,7.688e-01,3.341e-02
GTF2IRD1,4661,nucleoplasm,GO:0005654,cellular component,6.0,74.0,2.820e-02,1.977e-02,4.021e-02,2.206e-02,1.358e-02,3.582e-02,8.688e-01,9.997e-03
GTF2IRD1,4661,cytosol,GO:0005829,cellular component,6.0,78.0,2.820e-02,1.977e-02,4.021e-02,2.264e-02,2.082e-02,2.462e-02,8.674e-01,1.881e-03
GTF2IRD1,4661,protein binding,GO:0005515,molecular function,6.0,332.0,2.923e-02,1.816e-02,4.705e-02,2.681e-02,1.441e-02,4.991e-02,8.508e-01,1.468e-02
SS18L2,15593,,,,nan,nan,,,,,,,,
ANLN,14082,positive regulation of bleb assembly,GO:1904172,biological process,21.0,3.0,5.064e-02,3.277e-02,7.826e-02,1.488e-02,4.551e-03,4.862e-02,8.946e-01,2.179e-02
ANLN,14082,septin ring organization,GO:0031106,biological process,21.0,5.0,5.064e-02,3.277e-02,7.826e-02,2.051e-02,1.231e-02,3.415e-02,8.749e-01,1.008e-02
ANLN,14082,cortical cytoskeleton organization,GO:0030865,biological process,21.0,5.0,5.110e-02,3.261e-02,8.007e-02,1.837e-02,5.751e-03,5.867e-02,8.801e-01,2.395e-02
ANLN,14082,protein localization to mitotic actomyosin contractile ring,GO:1904498,biological process,21.0,2.0,5.269e-02,3.121e-02,8.897e-02,2.601e-02,9.965e-03,6.789e-02,8.520e-01,2.275e-02
ANLN,14082,actomyosin contractile ring assembly,GO:0000915,biological process,21.0,5.0,5.431e-02,3.091e-02,9.541e-02,4.061e-02,2.245e-02,7.348e-02,8.081e-01,1.514e-02
ANLN,14082,mitotic cytokinesis,GO:0000281,biological process,21.0,12.0,6.380e-02,2.589e-02,1.572e-01,5.417e-02,2.137e-02,1.373e-01,7.748e-01,2.517e-02
ANLN,14082,glomerular visceral epithelial cell migration,GO:0090521,biological process,21.0,2.0,7.649e-02,1.803e-02,3.244e-01,4.597e-02,2.832e-03,7.462e-01,7.721e-01,7.126e-02
ANLN,14082,bleb,GO:0032059,cellular component,21.0,2.0,5.064e-02,3.277e-02,7.826e-02,1.780e-02,1.169e-02,2.710e-02,8.872e-01,7.737e-03
ANLN,14082,actomyosin contractile ring,GO:0005826,cellular component,21.0,5.0,5.064e-02,3.277e-02,7.826e-02,1.997e-02,1.212e-02,3.293e-02,8.775e-01,1.037e-02
ANLN,14082,cell cortex region,GO:0099738,cellular component,21.0,17.0,5.105e-02,3.251e-02,8.016e-02,2.745e-02,1.681e-02,4.484e-02,8.486e-01,1.139e-02
ANLN,14082,actin cytoskeleton,GO:0015629,cellular component,21.0,6.0,6.050e-02,2.504e-02,1.462e-01,2.264e-02,1.991e-03,2.575e-01,8.479e-01,4.837e-02
ANLN,14082,midbody,GO:0030496,cellular component,21.0,26.0,6.752e-02,2.332e-02,1.955e-01,5.605e-02,1.524e-02,2.062e-01,7.686e-01,3.595e-02
ANLN,14082,nucleoplasm,GO:0005654,cellular component,21.0,74.0,8.405e-02,2.642e-02,2.674e-01,8.227e-02,2.730e-02,2.479e-01,7.220e-01,3.370e-02
ANLN,14082,GTP-Rho binding,GO:0017049,molecular function,21.0,2.0,5.064e-02,3.277e-02,7.826e-02,2.369e-02,1.110e-02,5.055e-02,8.606e-01,1.586e-02
ANLN,14082,cadherin binding,GO:0045296,molecular function,21.0,9.0,5.079e-02,3.320e-02,7.771e-02,2.529e-02,1.398e-02,4.575e-02,8.564e-01,1.373e-02
ANLN,14082,actin binding,GO:0003779,molecular function,21.0,7.0,5.186e-02,3.244e-02,8.289e-02,3.582e-02,2.907e-02,4.413e-02,8.226e-01,4.966e-03
WIZ,30917,,,,nan,nan,,,,,,,,
TACC3,11524,microtubule cytoskeleton organization,GO:0000226,biological process,20.0,25.0,5.276e-02,3.565e-02,7.808e-02,1.466e-02,8.862e-03,2.426e-02,9.009e-01,7.849e-03
TACC3,11524,microtubule cytoskeleton organization involved in mitosis,GO:1902850,biological process,20.0,7.0,5.276e-02,3.565e-02,7.808e-02,2.108e-02,1.286e-02,3.455e-02,8.730e-01,1.020e-02
TACC3,11524,regulation of mitotic spindle organization,GO:0060236,biological process,20.0,9.0,5.438e-02,3.759e-02,7.867e-02,4.431e-02,2.569e-02,7.642e-02,7.993e-01,1.483e-02
TACC3,11524,cell population proliferation,GO:0008283,biological process,20.0,35.0,6.675e-02,2.877e-02,1.549e-01,4.580e-02,1.310e-02,1.601e-01,7.921e-01,3.480e-02
TACC3,11524,cerebral cortex development,GO:0021987,biological process,20.0,2.0,7.738e-02,4.693e-02,1.276e-01,6.801e-02,3.194e-02,1.448e-01,7.481e-01,2.288e-02
TACC3,11524,metaphase/anaphase transition of mitotic cell cycle,GO:0007091,biological process,20.0,4.0,8.219e-02,5.637e-02,1.198e-01,7.687e-02,4.324e-02,1.367e-01,7.338e-01,1.750e-02
TACC3,11524,microtubule organizing center,GO:0005815,cellular component,20.0,16.0,5.276e-02,3.565e-02,7.808e-02,1.038e-02,4.077e-03,2.642e-02,9.197e-01,1.312e-02
TACC3,11524,mitotic spindle,GO:0072686,cellular component,20.0,17.0,5.276e-02,3.565e-02,7.808e-02,1.844e-02,8.533e-03,3.985e-02,8.825e-01,1.414e-02
TACC3,11524,cytoplasm,GO:0005737,cellular component,20.0,69.0,5.276e-02,3.565e-02,7.808e-02,3.152e-02,1.346e-02,7.381e-02,8.337e-01,2.084e-02
TACC3,11524,cytosol,GO:0005829,cellular component,20.0,78.0,5.276e-02,3.565e-02,7.808e-02,3.487e-02,1.689e-02,7.199e-02,8.236e-01,1.850e-02
TACC3,11524,protein binding,GO:0005515,molecular function,20.0,332.0,5.387e-02,3.840e-02,7.558e-02,4.010e-02,2.550e-02,6.306e-02,8.102e-01,1.205e-02
PHLDB1,23697,regulation of gastrulation,GO:0010470,biological process,7.0,13.0,2.039e-02,1.313e-02,3.166e-02,1.032e-02,6.874e-03,1.551e-02,9.226e-01,4.977e-03
PHLDB1,23697,regulation of microtubule cytoskeleton organization,GO:0070507,biological process,7.0,11.0,2.093e-02,1.472e-02,2.977e-02,1.443e-02,1.039e-02,2.004e-02,9.027e-01,5.414e-03
PHLDB1,23697,positive regulation of basement membrane assembly involved in embryonic body morphogenesis,GO:1904261,biological process,7.0,4.0,2.182e-02,1.240e-02,3.838e-02,1.214e-02,2.034e-03,7.246e-02,9.052e-01,2.375e-02
PHLDB1,23697,regulation of epithelial to mesenchymal transition,GO:0010717,biological process,7.0,7.0,2.191e-02,1.233e-02,3.892e-02,1.698e-02,5.850e-03,4.929e-02,8.863e-01,1.863e-02
PHLDB1,23697,basal cortex,GO:0045180,cellular component,7.0,2.0,2.249e-02,1.718e-02,2.943e-02,1.897e-02,9.946e-03,3.617e-02,8.809e-01,1.253e-02
NCAPH2,25071,chromosome organization,GO:0051276,biological process,16.0,21.0,5.201e-02,3.098e-02,8.731e-02,1.981e-02,1.081e-02,3.631e-02,8.774e-01,1.278e-02
NCAPH2,25071,meiotic chromosome condensation,GO:0010032,biological process,16.0,3.0,5.201e-02,3.098e-02,8.731e-02,2.122e-02,1.061e-02,4.245e-02,8.710e-01,1.435e-02
NCAPH2,25071,mitotic sister chromatid separation,GO:0051306,biological process,16.0,3.0,5.627e-02,2.658e-02,1.191e-01,2.609e-02,8.919e-03,7.630e-02,8.505e-01,2.261e-02
NCAPH2,25071,condensed chromosome,GO:0000793,cellular component,16.0,6.0,5.201e-02,3.098e-02,8.731e-02,1.546e-02,6.671e-03,3.581e-02,8.951e-01,1.361e-02
NCAPH2,25071,condensin complex,GO:0000796,cellular component,16.0,6.0,5.201e-02,3.098e-02,8.731e-02,1.667e-02,7.132e-03,3.895e-02,8.897e-01,1.389e-02
NCAPH2,25071,intercellular bridge,GO:0045171,cellular component,16.0,25.0,6.349e-02,2.801e-02,1.439e-01,4.850e-02,2.233e-02,1.053e-01,7.882e-01,2.031e-02
NCAPH2,25071,membrane,GO:0016020,cellular component,16.0,53.0,6.349e-02,2.801e-02,1.439e-01,4.868e-02,1.512e-02,1.567e-01,7.859e-01,3.062e-02
NCAPH2,25071,nucleus,GO:0005634,cellular component,16.0,151.0,6.349e-02,2.801e-02,1.439e-01,5.435e-02,1.859e-02,1.589e-01,7.736e-01,2.860e-02
NCAPH2,25071,nucleoplasm,GO:0005654,cellular component,16.0,74.0,6.349e-02,2.801e-02,1.439e-01,5.936e-02,2.845e-02,1.238e-01,7.651e-01,2.075e-02
NCAPH2,25071,cell junction,GO:0030054,cellular component,16.0,9.0,6.349e-02,2.801e-02,1.439e-01,6.091e-02,2.626e-02,1.412e-01,7.617e-01,2.364e-02
NCAPH2,25071,chromatin binding,GO:0003682,molecular function,16.0,17.0,6.349e-02,2.801e-02,1.439e-01,4.540e-02,1.601e-02,1.287e-01,7.945e-01,2.670e-02
NCAPH2,25071,protein binding,GO:0005515,molecular function,16.0,332.0,6.349e-02,2.801e-02,1.439e-01,5.778e-02,2.507e-02,1.332e-01,7.679e-01,2.307e-02
ZFYVE16,20756,,,,nan,nan,,,,,,,,
CAPG,1474,centriole,GO:0005814,cellular component,14.0,5.0,4.811e-02,3.786e-02,6.115e-02,1.519e-02,1.021e-02,2.259e-02,8.988e-01,6.626e-03
CAPG,1474,mitotic spindle,GO:0072686,cellular component,14.0,17.0,4.811e-02,3.786e-02,6.115e-02,2.517e-02,2.177e-02,2.909e-02,8.575e-01,3.272e-03
CAPG,1474,extracellular exosome,GO:0070062,cellular component,14.0,33.0,4.811e-02,3.786e-02,6.115e-02,3.024e-02,1.853e-02,4.935e-02,8.391e-01,1.168e-02
CAPG,1474,nucleolus,GO:0005730,cellular component,14.0,41.0,4.894e-02,3.933e-02,6.089e-02,3.375e-02,2.298e-02,4.955e-02,8.282e-01,9.301e-03
CAPG,1474,nucleus,GO:0005634,cellular component,14.0,151.0,4.894e-02,3.933e-02,6.089e-02,3.912e-02,2.815e-02,5.436e-02,8.132e-01,8.673e-03
CAPG,1474,nucleoplasm,GO:0005654,cellular component,14.0,74.0,4.894e-02,3.933e-02,6.089e-02,4.296e-02,3.458e-02,5.337e-02,8.033e-01,5.882e-03
CAPG,1474,cytoplasm,GO:0005737,cellular component,14.0,69.0,4.894e-02,3.933e-02,6.089e-02,4.531e-02,3.637e-02,5.644e-02,7.972e-01,5.914e-03
CAPG,1474,Flemming body,GO:0090543,cellular component,14.0,4.0,5.622e-02,3.819e-02,8.276e-02,4.697e-02,1.744e-02,1.265e-01,7.909e-01,2.572e-02
CAPG,1474,cadherin binding,GO:0045296,molecular function,14.0,9.0,4.811e-02,3.786e-02,6.115e-02,2.016e-02,1.841e-02,2.209e-02,8.779e-01,1.859e-03
CAPG,1474,protein domain specific binding,GO:0019904,molecular function,14.0,82.0,4.811e-02,3.786e-02,6.115e-02,2.127e-02,1.677e-02,2.698e-02,8.730e-01,5.145e-03
CAPG,1474,protein-containing complex binding,GO:0044877,molecular function,14.0,79.0,4.811e-02,3.786e-02,6.115e-02,2.639e-02,1.141e-02,6.106e-02,8.508e-01,1.841e-02
CAPG,1474,protein binding,GO:0005515,molecular function,14.0,332.0,4.894e-02,3.933e-02,6.089e-02,4.031e-02,3.361e-02,4.834e-02,8.103e-01,4.732e-03
DTNBP1,17328,neuron projection development,GO:0031175,biological process,16.0,12.0,3.249e-02,1.659e-02,6.365e-02,1.271e-02,9.853e-03,1.640e-02,9.110e-01,3.573e-03
DTNBP1,17328,microtubule cytoskeleton,GO:0015630,cellular component,16.0,17.0,3.249e-02,1.659e-02,6.365e-02,1.539e-02,6.091e-03,3.888e-02,8.951e-01,1.412e-02
DTNBP1,17328,midbody,GO:0030496,cellular component,16.0,26.0,3.249e-02,1.659e-02,6.365e-02,1.929e-02,6.718e-03,5.541e-02,8.763e-01,1.960e-02
DTNBP1,17328,neuron projection,GO:0043005,cellular component,16.0,21.0,3.341e-02,1.873e-02,5.960e-02,2.304e-02,1.085e-02,4.892e-02,8.636e-01,1.564e-02
DTNBP1,17328,BLOC-1 complex,GO:0031083,cellular component,16.0,2.0,3.341e-02,1.873e-02,5.960e-02,2.789e-02,1.995e-02,3.900e-02,8.475e-01,7.834e-03
DTNBP1,17328,synaptic vesicle membrane,GO:0030672,cellular component,16.0,2.0,3.341e-02,1.873e-02,5.960e-02,3.060e-02,1.971e-02,4.751e-02,8.383e-01,1.032e-02
DTNBP1,17328,postsynaptic density,GO:0014069,cellular component,16.0,4.0,4.001e-02,1.167e-02,1.371e-01,2.961e-02,4.011e-03,2.186e-01,8.294e-01,4.455e-02
DTNBP1,17328,protein binding,GO:0005515,molecular function,16.0,332.0,3.341e-02,1.873e-02,5.960e-02,3.028e-02,1.798e-02,5.101e-02,8.390e-01,1.227e-02
CELF2,2550,,,,nan,nan,,,,,,,,
PIK3CB,8976,phosphatidylinositol phosphorylation,GO:0046854,biological process,25.0,5.0,1.201e-01,6.503e-02,2.217e-01,3.491e-02,2.806e-03,4.344e-01,8.058e-01,5.373e-02
PIK3CB,8976,phosphatidylinositol 3-kinase signaling,GO:0014065,biological process,25.0,3.0,1.237e-01,7.419e-02,2.063e-01,1.499e-02,1.067e-02,2.107e-02,9.002e-01,5.888e-03
PIK3CB,8976,phosphorylation,GO:0016310,biological process,25.0,12.0,1.239e-01,6.347e-02,2.419e-01,5.260e-02,2.324e-03,1.191e+00,7.511e-01,7.434e-02
PIK3CB,8976,phosphatidylinositol-mediated signaling,GO:0048015,biological process,25.0,4.0,1.286e-01,8.798e-02,1.881e-01,2.274e-02,1.397e-02,3.702e-02,8.660e-01,1.069e-02
PIK3CB,8976,positive regulation of neutrophil apoptotic process,GO:0033031,biological process,25.0,6.0,1.286e-01,8.798e-02,1.881e-01,3.562e-02,2.716e-02,4.671e-02,8.230e-01,6.500e-03
PIK3CB,8976,phosphatidylinositol-3-phosphate biosynthetic process,GO:0036092,biological process,25.0,3.0,1.286e-01,8.798e-02,1.881e-01,3.868e-02,2.464e-02,6.073e-02,8.139e-01,1.149e-02
PIK3CB,8976,positive regulation of gene expression,GO:0010628,biological process,25.0,20.0,1.359e-01,1.118e-01,1.652e-01,2.800e-02,6.428e-03,1.220e-01,8.403e-01,3.083e-02
PIK3CB,8976,cell migration,GO:0016477,biological process,25.0,38.0,1.359e-01,1.118e-01,1.652e-01,6.058e-02,3.233e-02,1.135e-01,7.627e-01,1.839e-02
PIK3CB,8976,regulation of cell-matrix adhesion,GO:0001952,biological process,25.0,7.0,1.702e-01,1.274e-01,2.273e-01,1.587e-01,1.266e-01,1.987e-01,6.311e-01,8.722e-03
PIK3CB,8976,plasma membrane,GO:0005886,cellular component,25.0,24.0,1.599e-01,1.113e-01,2.297e-01,1.027e-01,8.050e-02,1.310e-01,6.958e-01,8.134e-03
PIK3CB,8976,midbody,GO:0030496,cellular component,25.0,26.0,1.608e-01,1.099e-01,2.352e-01,9.793e-02,5.754e-02,1.667e-01,7.017e-01,1.720e-02
PIK3CB,8976,nucleus,GO:0005634,cellular component,25.0,151.0,1.608e-01,1.099e-01,2.352e-01,1.105e-01,5.446e-02,2.242e-01,6.840e-01,2.480e-02
PIK3CB,8976,cytoplasm,GO:0005737,cellular component,25.0,69.0,1.608e-01,1.099e-01,2.352e-01,1.161e-01,8.821e-02,1.527e-01,6.785e-01,9.628e-03
PIK3CB,8976,nucleolus,GO:0005730,cellular component,25.0,41.0,1.608e-01,1.099e-01,2.352e-01,1.277e-01,7.150e-02,2.280e-01,6.634e-01,2.132e-02
PIK3CB,8976,membrane,GO:0016020,cellular component,25.0,53.0,1.725e-01,1.208e-01,2.463e-01,1.471e-01,9.624e-02,2.249e-01,6.426e-01,1.555e-02
PIK3CB,8976,phosphatidylinositol 3-kinase complex,GO:0005942,cellular component,25.0,8.0,2.111e-01,1.124e-01,3.964e-01,2.102e-01,1.104e-01,3.999e-01,5.804e-01,2.817e-02
PIK3CB,8976,1-phosphatidylinositol-3-kinase activity,GO:0016303,molecular function,25.0,4.0,1.608e-01,1.099e-01,2.352e-01,9.354e-02,3.600e-02,2.430e-01,7.056e-01,3.222e-02
PIK3CB,8976,1-phosphatidylinositol-4-phosphate 3-kinase activity,GO:0035005,molecular function,25.0,4.0,1.608e-01,1.099e-01,2.352e-01,9.801e-02,3.841e-02,2.501e-01,6.994e-01,3.214e-02
PIK3CB,8976,protein binding,GO:0005515,molecular function,25.0,332.0,1.642e-01,1.149e-01,2.346e-01,1.286e-01,8.091e-02,2.045e-01,6.628e-01,1.667e-02
PIK3CB,8976,kinase activity,GO:0016301,molecular function,25.0,138.0,1.812e-01,8.254e-02,3.979e-01,1.548e-01,5.380e-02,4.457e-01,6.282e-01,4.382e-02
SYNE2,17084,centriole-centriole cohesion,GO:0010457,biological process,29.0,4.0,1.360e-01,5.846e-02,3.165e-01,5.233e-02,1.611e-02,1.700e-01,7.774e-01,3.432e-02
SYNE2,17084,centrosome localization,GO:0051642,biological process,29.0,5.0,1.406e-01,6.177e-02,3.202e-01,1.141e-01,6.085e-02,2.140e-01,6.798e-01,2.174e-02
SYNE2,17084,cytoskeletal anchoring at nuclear membrane,GO:0090286,biological process,29.0,3.0,1.495e-01,5.410e-02,4.129e-01,1.150e-01,3.924e-02,3.371e-01,6.755e-01,3.773e-02
SYNE2,17084,nuclear migration,GO:0007097,biological process,29.0,14.0,1.508e-01,4.610e-02,4.930e-01,1.109e-01,2.057e-02,5.982e-01,6.714e-01,6.487e-02
SYNE2,17084,extracellular exosome,GO:0070062,cellular component,29.0,33.0,1.360e-01,5.846e-02,3.165e-01,3.584e-02,1.046e-02,1.228e-01,8.187e-01,2.969e-02
SYNE2,17084,centrosome,GO:0005813,cellular component,29.0,31.0,1.360e-01,5.846e-02,3.165e-01,4.136e-02,1.892e-02,9.040e-02,8.057e-01,1.982e-02
SYNE2,17084,aggresome,GO:0016235,cellular component,29.0,2.0,1.360e-01,5.846e-02,3.165e-01,4.399e-02,3.950e-03,4.899e-01,7.836e-01,5.697e-02
SYNE2,17084,focal adhesion,GO:0005925,cellular component,29.0,11.0,1.360e-01,5.846e-02,3.165e-01,5.406e-02,2.660e-02,1.099e-01,7.761e-01,1.948e-02
SYNE2,17084,nucleus,GO:0005634,cellular component,29.0,151.0,1.360e-01,5.846e-02,3.165e-01,6.866e-02,2.686e-02,1.755e-01,7.460e-01,2.892e-02
SYNE2,17084,nuclear envelope,GO:0005635,cellular component,29.0,4.0,1.360e-01,5.846e-02,3.165e-01,7.339e-02,4.701e-02,1.146e-01,7.401e-01,1.319e-02
SYNE2,17084,cytoplasm,GO:0005737,cellular component,29.0,69.0,1.360e-01,5.846e-02,3.165e-01,7.642e-02,2.602e-02,2.245e-01,7.314e-01,3.457e-02
SYNE2,17084,filopodium membrane,GO:0031527,cellular component,29.0,2.0,1.360e-01,5.846e-02,3.165e-01,8.451e-02,3.372e-02,2.118e-01,7.194e-01,3.022e-02
SYNE2,17084,lamellipodium membrane,GO:0031258,cellular component,29.0,4.0,1.360e-01,5.846e-02,3.165e-01,9.311e-02,3.908e-02,2.219e-01,7.068e-01,2.868e-02
SYNE2,17084,mitochondrion,GO:0005739,cellular component,29.0,19.0,1.387e-01,6.050e-02,3.181e-01,5.636e-02,1.402e-02,2.266e-01,7.676e-01,3.728e-02
