Well,Plate,well_plate,IsVariable,Main
C02,6736,C02_6736,unspecific,0
F12,6736,F12_6736,unspecific,0
H10,6736,H10_6736,unspecific,0
H05,6736,H05_6736,unspecific,0
H03,6736,H03_6736,unspecific,0
C10,6736,C10_6736,"not similar to production (Nucleus, Nucleoli)",0
A09,6724,A09_6724,no_fail_unspecific,0
F08,6736,F08_6736,"no, very weak staining",0
B11,6724,B11_6724,"no, unspecific (excl: 1 &2)",0
C10,6724,C10_6724,"no, unspecific",0
G01,6724,G01_6724,"no, unspecific",0
A10,6736,A10_6736,"no, Unspecific",0
A03,6736,A03_6736,"no, Unspecific",0
F02,6736,F02_6736,"no, unspecific",0
F02,6724,F02_6724,"no, negative",0
C06,6724,C06_6724,"no, but folded cells",0
E02,6736,E02_6736,"no, almost unspecific",0
G02,6736,G02_6736,"no, almost unspecific",0
A04,6736,A04_6736,"no, (folded cells)",0
C11,6724,C11_6724,"no, (excl: 1)",0
D11,6724,D11_6724,no (no mitochondria),0
H12,6724,H12_6724,No (n/a from lookup),No (n/a from lookup)
H12,6736,H12_6736,No (n/a from lookup),No (n/a from lookup)
D09,6724,D09_6724,no (folded cells),0
C09,6724,C09_6724,no (exl: 2-3),0
A06,6724,A06_6724,no (excl_fld2),0
A08,6724,A08_6724,no (excl_fld1 ),0
H04,6724,H04_6724,no (excl:2),0
G11,6724,G11_6724,"no (excl:2 , 5&6 bad cells)",0
E11,6724,E11_6724,"no (excl:1,2)",0
H11,6724,H11_6724,"no (excl:1,2)",0
E10,6724,E10_6724,no (excl:1),0
G09,6724,G09_6724,no (excl:1),0
A11,6724,A11_6724,no (excl:1&2),0
B10,6724,B10_6724,no (excl: 2-3-6),0
A10,6724,A10_6724,no (excl: 2-3),0
G08,6724,G08_6724,"no (excl: 2,5)",0
F08,6724,F08_6724,"no (excl: 2,3)",0
A12,6724,A12_6724,no (excl: 2),0
B01,6724,B01_6724,no (excl: 2),0
A05,6724,A05_6724,no (excl: 1-2-4-5),0
E12,6724,E12_6724,no (excl: 1),0
B11,6736,B11_6736,no (ER staining no vesicles),0
H03,6724,H03_6724,no (but cells on top of each other ),0
A08,6736,A08_6736,no (almost unspecific),0
A12,6717,A12_6717,No,0
A11,6717,A11_6717,No,0
A10,6717,A10_6717,No,0
A09,6717,A09_6717,No,0
A08,6717,A08_6717,No,0
A04,6717,A04_6717,No,0
A03,6717,A03_6717,No,0
A02,6717,A02_6717,No,0
A01,6717,A01_6717,No,0
B12,6717,B12_6717,No,0
B11,6717,B11_6717,No,0
B10,6717,B10_6717,No,0
B09,6717,B09_6717,No,0
B08,6717,B08_6717,No,0
B07,6717,B07_6717,No,0
B06,6717,B06_6717,No,0
B05,6717,B05_6717,No,0
B04,6717,B04_6717,No,0
B03,6717,B03_6717,No,0
B02,6717,B02_6717,No,0
B01,6717,B01_6717,No,0
C12,6717,C12_6717,No,0
C11,6717,C11_6717,No,0
C09,6717,C09_6717,No,0
C08,6717,C08_6717,No,0
C07,6717,C07_6717,No,0
C06,6717,C06_6717,No,0
C05,6717,C05_6717,No,0
C04,6717,C04_6717,No,0
C03,6717,C03_6717,No,0
C02,6717,C02_6717,No,0
C01,6717,C01_6717,No,0
D12,6717,D12_6717,No,0
D11,6717,D11_6717,No,0
D09,6717,D09_6717,No,0
D08,6717,D08_6717,No,0
D07,6717,D07_6717,No,0
D05,6717,D05_6717,No,0
D04,6717,D04_6717,No,0
D03,6717,D03_6717,No,0
D02,6717,D02_6717,No,0
D01,6717,D01_6717,No,0
E12,6717,E12_6717,No,0
E11,6717,E11_6717,No,0
E10,6717,E10_6717,No,0
E09,6717,E09_6717,No,0
E08,6717,E08_6717,No,0
E07,6717,E07_6717,No,0
E06,6717,E06_6717,No,0
E05,6717,E05_6717,No,0
E04,6717,E04_6717,No,0
E03,6717,E03_6717,No,0
E02,6717,E02_6717,No,0
E01,6717,E01_6717,No,0
F12,6717,F12_6717,No,0
F11,6717,F11_6717,No,0
F09,6717,F09_6717,No,0
F08,6717,F08_6717,No,0
F07,6717,F07_6717,No,0
F06,6717,F06_6717,No,0
F05,6717,F05_6717,No,0
F04,6717,F04_6717,No,0
F03,6717,F03_6717,No,0
F02,6717,F02_6717,No,0
F01,6717,F01_6717,No,0
G12,6717,G12_6717,No,0
G10,6717,G10_6717,No,0
G09,6717,G09_6717,No,0
G08,6717,G08_6717,No,0
G06,6717,G06_6717,No,0
G05,6717,G05_6717,No,0
G04,6717,G04_6717,No,0
G03,6717,G03_6717,No,0
G02,6717,G02_6717,No,0
G01,6717,G01_6717,No,0
H12,6717,H12_6717,No,0
H11,6717,H11_6717,No,0
H09,6717,H09_6717,No,0
H07,6717,H07_6717,No,0
H06,6717,H06_6717,No,0
H04,6717,H04_6717,No,0
H03,6717,H03_6717,No,0
H02,6717,H02_6717,No,0
H01,6717,H01_6717,No,0
A12,6718,A12_6718,No,0
A11,6718,A11_6718,No,0
A10,6718,A10_6718,No,0
A09,6718,A09_6718,No,0
A08,6718,A08_6718,No,0
A07,6718,A07_6718,No,0
A06,6718,A06_6718,No,0
A04,6718,A04_6718,No,0
A03,6718,A03_6718,No,0
A02,6718,A02_6718,No,0
A01,6718,A01_6718,No,0
B12,6718,B12_6718,No,0
B11,6718,B11_6718,No,0
B10,6718,B10_6718,No,0
B09,6718,B09_6718,No,0
B08,6718,B08_6718,No,0
B07,6718,B07_6718,No,0
B06,6718,B06_6718,No,0
B05,6718,B05_6718,No,0
B04,6718,B04_6718,No,0
B03,6718,B03_6718,No,0
B02,6718,B02_6718,No,0
B01,6718,B01_6718,No,0
C12,6718,C12_6718,No,0
C11,6718,C11_6718,No,0
C10,6718,C10_6718,No,0
C09,6718,C09_6718,No,0
C08,6718,C08_6718,No,0
C07,6718,C07_6718,No,0
C06,6718,C06_6718,No,0
C05,6718,C05_6718,No,0
C04,6718,C04_6718,No,0
C03,6718,C03_6718,No,0
C02,6718,C02_6718,No,0
D12,6718,D12_6718,No,0
D11,6718,D11_6718,No,0
D10,6718,D10_6718,No,0
D09,6718,D09_6718,No,0
D08,6718,D08_6718,No,0
D07,6718,D07_6718,No,0
D06,6718,D06_6718,No,0
D05,6718,D05_6718,No,0
D04,6718,D04_6718,No,0
D03,6718,D03_6718,No,0
D02,6718,D02_6718,No,0
D01,6718,D01_6718,No,0
E12,6718,E12_6718,No,0
E11,6718,E11_6718,No,0
E10,6718,E10_6718,No,0
E09,6718,E09_6718,No,0
E08,6718,E08_6718,No,0
E07,6718,E07_6718,No,0
E06,6718,E06_6718,No,0
E05,6718,E05_6718,No,0
E04,6718,E04_6718,No,0
E03,6718,E03_6718,No,0
E02,6718,E02_6718,No,0
E01,6718,E01_6718,No,0
F12,6718,F12_6718,No,0
F11,6718,F11_6718,No,0
F10,6718,F10_6718,No,0
F09,6718,F09_6718,No,0
F08,6718,F08_6718,No,0
F07,6718,F07_6718,No,0
F06,6718,F06_6718,No,0
F05,6718,F05_6718,No,0
F04,6718,F04_6718,No,0
F03,6718,F03_6718,No,0
F02,6718,F02_6718,No,0
F01,6718,F01_6718,No,0
G12,6718,G12_6718,No,0
G11,6718,G11_6718,No,0
G10,6718,G10_6718,No,0
G09,6718,G09_6718,No,0
G07,6718,G07_6718,No,0
G06,6718,G06_6718,No,0
G05,6718,G05_6718,No,0
G04,6718,G04_6718,No,0
G03,6718,G03_6718,No,0
G02,6718,G02_6718,No,0
G01,6718,G01_6718,No,0
H12,6718,H12_6718,No,0
H11,6718,H11_6718,No,0
H10,6718,H10_6718,No,0
H09,6718,H09_6718,No,0
H08,6718,H08_6718,No,0
H06,6718,H06_6718,No,0
H05,6718,H05_6718,No,0
H04,6718,H04_6718,No,0
H03,6718,H03_6718,No,0
H01,6718,H01_6718,No,0
A12,6719,A12_6719,No,0
A11,6719,A11_6719,No,0
A10,6719,A10_6719,No,0
A09,6719,A09_6719,No,0
A08,6719,A08_6719,No,0
A07,6719,A07_6719,No,0
A06,6719,A06_6719,No,0
A05,6719,A05_6719,No,0
A04,6719,A04_6719,No,0
A03,6719,A03_6719,No,0
A02,6719,A02_6719,No,0
B12,6719,B12_6719,No,0
B11,6719,B11_6719,No,0
B10,6719,B10_6719,No,0
B09,6719,B09_6719,No,0
B08,6719,B08_6719,No,0
B07,6719,B07_6719,No,0
B06,6719,B06_6719,No,0
B05,6719,B05_6719,No,0
B04,6719,B04_6719,No,0
B03,6719,B03_6719,No,0
B02,6719,B02_6719,No,0
B01,6719,B01_6719,No,0
C12,6719,C12_6719,No,0
C11,6719,C11_6719,No,0
C10,6719,C10_6719,No,0
C09,6719,C09_6719,No,0
C08,6719,C08_6719,No,0
C07,6719,C07_6719,No,0
C06,6719,C06_6719,No,0
C04,6719,C04_6719,No,0
C03,6719,C03_6719,No,0
C02,6719,C02_6719,No,0
C01,6719,C01_6719,No,0
D12,6719,D12_6719,No,0
D11,6719,D11_6719,No,0
D10,6719,D10_6719,No,0
D09,6719,D09_6719,No,0
D08,6719,D08_6719,No,0
D07,6719,D07_6719,No,0
D06,6719,D06_6719,No,0
D05,6719,D05_6719,No,0
D04,6719,D04_6719,No,0
D03,6719,D03_6719,No,0
D02,6719,D02_6719,No,0
D01,6719,D01_6719,No,0
E12,6719,E12_6719,No,0
E11,6719,E11_6719,No,0
E10,6719,E10_6719,No,0
E09,6719,E09_6719,No,0
E08,6719,E08_6719,No,0
E07,6719,E07_6719,No,0
E06,6719,E06_6719,No,0
E05,6719,E05_6719,No,0
E04,6719,E04_6719,No,0
E03,6719,E03_6719,No,0
E02,6719,E02_6719,No,0
E01,6719,E01_6719,No,0
F12,6719,F12_6719,No,0
F11,6719,F11_6719,No,0
F10,6719,F10_6719,No,0
F09,6719,F09_6719,No,0
F08,6719,F08_6719,No,0
F07,6719,F07_6719,No,0
F06,6719,F06_6719,No,0
F05,6719,F05_6719,No,0
F04,6719,F04_6719,No,0
F03,6719,F03_6719,No,0
F01,6719,F01_6719,No,0
G12,6719,G12_6719,No,0
G11,6719,G11_6719,No,0
G10,6719,G10_6719,No,0
G09,6719,G09_6719,No,0
G08,6719,G08_6719,No,0
G07,6719,G07_6719,No,0
G06,6719,G06_6719,No,0
G05,6719,G05_6719,No,0
G04,6719,G04_6719,No,0
G03,6719,G03_6719,No,0
G02,6719,G02_6719,No,0
H12,6719,H12_6719,No,0
H11,6719,H11_6719,No,0
H10,6719,H10_6719,No,0
H09,6719,H09_6719,No,0
H08,6719,H08_6719,No,0
H07,6719,H07_6719,No,0
H05,6719,H05_6719,No,0
H04,6719,H04_6719,No,0
H03,6719,H03_6719,No,0
H02,6719,H02_6719,No,0
H01,6719,H01_6719,No,0
A12,6720,A12_6720,No,0
A11,6720,A11_6720,No,0
A10,6720,A10_6720,No,0
A09,6720,A09_6720,No,0
A07,6720,A07_6720,No,0
A06,6720,A06_6720,No,0
A04,6720,A04_6720,No,0
A03,6720,A03_6720,No,0
A01,6720,A01_6720,No,0
B12,6720,B12_6720,No,0
B11,6720,B11_6720,No,0
B10,6720,B10_6720,No,0
B06,6720,B06_6720,No,0
B05,6720,B05_6720,No,0
B04,6720,B04_6720,No,0
B03,6720,B03_6720,No,0
B01,6720,B01_6720,No,0
C12,6720,C12_6720,No,0
C11,6720,C11_6720,No,0
C09,6720,C09_6720,No,0
C07,6720,C07_6720,No,0
C06,6720,C06_6720,No,0
C04,6720,C04_6720,No,0
D12,6720,D12_6720,No,0
D11,6720,D11_6720,No,0
D10,6720,D10_6720,No,0
D08,6720,D08_6720,No,0
D05,6720,D05_6720,No,0
E12,6720,E12_6720,No,0
E11,6720,E11_6720,No,0
E10,6720,E10_6720,No,0
E09,6720,E09_6720,No,0
E07,6720,E07_6720,No,0
E06,6720,E06_6720,No,0
E04,6720,E04_6720,No,0
F12,6720,F12_6720,No,0
F11,6720,F11_6720,No,0
F10,6720,F10_6720,No,0
F09,6720,F09_6720,No,0
F07,6720,F07_6720,No,0
F06,6720,F06_6720,No,0
F05,6720,F05_6720,No,0
F03,6720,F03_6720,No,0
G12,6720,G12_6720,No,0
G10,6720,G10_6720,No,0
G09,6720,G09_6720,No,0
G08,6720,G08_6720,No,0
G06,6720,G06_6720,No,0
G04,6720,G04_6720,No,0
G03,6720,G03_6720,No,0
H12,6720,H12_6720,No,0
H10,6720,H10_6720,No,0
H07,6720,H07_6720,No,0
H06,6720,H06_6720,No,0
H04,6720,H04_6720,No,0
H03,6720,H03_6720,No,0
H01,6720,H01_6720,No,0
A12,6721,A12_6721,No,0
A11,6721,A11_6721,No,0
A10,6721,A10_6721,No,0
A09,6721,A09_6721,No,0
A08,6721,A08_6721,No,0
A07,6721,A07_6721,No,0
A06,6721,A06_6721,No,0
A05,6721,A05_6721,No,0
A04,6721,A04_6721,No,0
A03,6721,A03_6721,No,0
A02,6721,A02_6721,No,0
A01,6721,A01_6721,No,0
B12,6721,B12_6721,No,0
B10,6721,B10_6721,No,0
B09,6721,B09_6721,No,0
B08,6721,B08_6721,No,0
B07,6721,B07_6721,No,0
B06,6721,B06_6721,No,0
B05,6721,B05_6721,No,0
B04,6721,B04_6721,No,0
B03,6721,B03_6721,No,0
B02,6721,B02_6721,No,0
B01,6721,B01_6721,No,0
C12,6721,C12_6721,No,0
C11,6721,C11_6721,No,0
C10,6721,C10_6721,No,0
C09,6721,C09_6721,No,0
C08,6721,C08_6721,No,0
C07,6721,C07_6721,No,0
C06,6721,C06_6721,No,0
C05,6721,C05_6721,No,0
C04,6721,C04_6721,No,0
C03,6721,C03_6721,No,0
C02,6721,C02_6721,No,0
C01,6721,C01_6721,No,0
D12,6721,D12_6721,No,0
D11,6721,D11_6721,No,0
D10,6721,D10_6721,No,0
D09,6721,D09_6721,No,0
D08,6721,D08_6721,No,0
D07,6721,D07_6721,No,0
D06,6721,D06_6721,No,0
D05,6721,D05_6721,No,0
D04,6721,D04_6721,No,0
D03,6721,D03_6721,No,0
D02,6721,D02_6721,No,0
D01,6721,D01_6721,No,0
E12,6721,E12_6721,No,0
E11,6721,E11_6721,No,0
E10,6721,E10_6721,No,0
E09,6721,E09_6721,No,0
E08,6721,E08_6721,No,0
E07,6721,E07_6721,No,0
E06,6721,E06_6721,No,0
E05,6721,E05_6721,No,0
E04,6721,E04_6721,No,0
E03,6721,E03_6721,No,0
E02,6721,E02_6721,No,0
F12,6721,F12_6721,No,0
F11,6721,F11_6721,No,0
F10,6721,F10_6721,No,0
F09,6721,F09_6721,No,0
F08,6721,F08_6721,No,0
F07,6721,F07_6721,No,0
F06,6721,F06_6721,No,0
F05,6721,F05_6721,No,0
F04,6721,F04_6721,No,0
F03,6721,F03_6721,No,0
F02,6721,F02_6721,No,0
F01,6721,F01_6721,No,0
G12,6721,G12_6721,No,0
G11,6721,G11_6721,No,0
G10,6721,G10_6721,No,0
G09,6721,G09_6721,No,0
G08,6721,G08_6721,No,0
G07,6721,G07_6721,No,0
G06,6721,G06_6721,No,0
G05,6721,G05_6721,No,0
G04,6721,G04_6721,No,0
G03,6721,G03_6721,No,0
G02,6721,G02_6721,No,0
G01,6721,G01_6721,No,0
H12,6721,H12_6721,No,0
H10,6721,H10_6721,No,0
H09,6721,H09_6721,No,0
H08,6721,H08_6721,No,0
H07,6721,H07_6721,No,0
H06,6721,H06_6721,No,0
H05,6721,H05_6721,No,0
H04,6721,H04_6721,No,0
H03,6721,H03_6721,No,0
H02,6721,H02_6721,No,0
H01,6721,H01_6721,No,0
A12,6722,A12_6722,No,0
A11,6722,A11_6722,No,0
A09,6722,A09_6722,No,0
A08,6722,A08_6722,No,0
A07,6722,A07_6722,No,0
A06,6722,A06_6722,No,0
A05,6722,A05_6722,No,0
A04,6722,A04_6722,No,0
A03,6722,A03_6722,No,0
A02,6722,A02_6722,No,0
A01,6722,A01_6722,No,0
B12,6722,B12_6722,No,0
B11,6722,B11_6722,No,0
B09,6722,B09_6722,No,0
B08,6722,B08_6722,No,0
B07,6722,B07_6722,No,0
B06,6722,B06_6722,No,0
B05,6722,B05_6722,No,0
B04,6722,B04_6722,No,0
B03,6722,B03_6722,No,0
B02,6722,B02_6722,No,0
C12,6722,C12_6722,No,0
C11,6722,C11_6722,No,0
C10,6722,C10_6722,No,0
C09,6722,C09_6722,No,0
C08,6722,C08_6722,No,0
C07,6722,C07_6722,No,0
C05,6722,C05_6722,No,0
C04,6722,C04_6722,No,0
C03,6722,C03_6722,No,0
C02,6722,C02_6722,No,0
C01,6722,C01_6722,No,0
D12,6722,D12_6722,No,0
D11,6722,D11_6722,No,0
D10,6722,D10_6722,No,0
D09,6722,D09_6722,No,0
D08,6722,D08_6722,No,0
D07,6722,D07_6722,No,0
D06,6722,D06_6722,No,0
D04,6722,D04_6722,No,0
D03,6722,D03_6722,No,0
D02,6722,D02_6722,No,0
D01,6722,D01_6722,No,0
E12,6722,E12_6722,No,0
E11,6722,E11_6722,No,0
E10,6722,E10_6722,No,0
E08,6722,E08_6722,No,0
E07,6722,E07_6722,No,0
E06,6722,E06_6722,No,0
E05,6722,E05_6722,No,0
E03,6722,E03_6722,No,0
E02,6722,E02_6722,No,0
E01,6722,E01_6722,No,0
F12,6722,F12_6722,No,0
F11,6722,F11_6722,No,0
F10,6722,F10_6722,No,0
F09,6722,F09_6722,No,0
F08,6722,F08_6722,No,0
F07,6722,F07_6722,No,0
F06,6722,F06_6722,No,0
F05,6722,F05_6722,No,0
F04,6722,F04_6722,No,0
F02,6722,F02_6722,No,0
F01,6722,F01_6722,No,0
G12,6722,G12_6722,No,0
G11,6722,G11_6722,No,0
G10,6722,G10_6722,No,0
G09,6722,G09_6722,No,0
G08,6722,G08_6722,No,0
G07,6722,G07_6722,No,0
G06,6722,G06_6722,No,0
G05,6722,G05_6722,No,0
G04,6722,G04_6722,No,0
G03,6722,G03_6722,No,0
G02,6722,G02_6722,No,0
G01,6722,G01_6722,No,0
H12,6722,H12_6722,No,0
H11,6722,H11_6722,No,0
H10,6722,H10_6722,No,0
H09,6722,H09_6722,No,0
H08,6722,H08_6722,No,0
H07,6722,H07_6722,No,0
H06,6722,H06_6722,No,0
H05,6722,H05_6722,No,0
H04,6722,H04_6722,No,0
H03,6722,H03_6722,No,0
H02,6722,H02_6722,No,0
H01,6722,H01_6722,No,0
A07,6724,A07_6724,no,0
A04,6724,A04_6724,no,0
A03,6724,A03_6724,no,0
A02,6724,A02_6724,no,0
A01,6724,A01_6724,no,0
B08,6724,B08_6724,no,0
B07,6724,B07_6724,no,0
B06,6724,B06_6724,no,0
C08,6724,C08_6724,no,0
C07,6724,C07_6724,no,0
C01,6724,C01_6724,no,0
D10,6724,D10_6724,no,0
D08,6724,D08_6724,no,0
D07,6724,D07_6724,no,0
D06,6724,D06_6724,no,0
D05,6724,D05_6724,no,0
E07,6724,E07_6724,no,0
E06,6724,E06_6724,no,0
E05,6724,E05_6724,no,0
E04,6724,E04_6724,no,0
E02,6724,E02_6724,no,0
E01,6724,E01_6724,no,0
F12,6724,F12_6724,no,0
F11,6724,F11_6724,no,0
F10,6724,F10_6724,no,0
F09,6724,F09_6724,no,0
F07,6724,F07_6724,no,0
F06,6724,F06_6724,no,0
F05,6724,F05_6724,no,0
F03,6724,F03_6724,no,0
G12,6724,G12_6724,no,0
G10,6724,G10_6724,no,0
G06,6724,G06_6724,no,0
G05,6724,G05_6724,no,0
G03,6724,G03_6724,no,0
G02,6724,G02_6724,no,0
H10,6724,H10_6724,no,0
H08,6724,H08_6724,no,0
H07,6724,H07_6724,no,0
H02,6724,H02_6724,no,0
H01,6724,H01_6724,no,0
A12,6725,A12_6725,No,0
A11,6725,A11_6725,No,0
A10,6725,A10_6725,No,0
A09,6725,A09_6725,No,0
A07,6725,A07_6725,No,0
A06,6725,A06_6725,No,0
A05,6725,A05_6725,No,0
A04,6725,A04_6725,No,0
A03,6725,A03_6725,No,0
A02,6725,A02_6725,No,0
A01,6725,A01_6725,No,0
B12,6725,B12_6725,No,0
B11,6725,B11_6725,No,0
B10,6725,B10_6725,No,0
B09,6725,B09_6725,No,0
B08,6725,B08_6725,No,0
B07,6725,B07_6725,No,0
B06,6725,B06_6725,No,0
B05,6725,B05_6725,No,0
B04,6725,B04_6725,No,0
B03,6725,B03_6725,No,0
B02,6725,B02_6725,No,0
B01,6725,B01_6725,No,0
C12,6725,C12_6725,No,0
C11,6725,C11_6725,No,0
C10,6725,C10_6725,No,0
C09,6725,C09_6725,No,0
C08,6725,C08_6725,No,0
C07,6725,C07_6725,No,0
C06,6725,C06_6725,No,0
C05,6725,C05_6725,No,0
C04,6725,C04_6725,No,0
C03,6725,C03_6725,No,0
C02,6725,C02_6725,No,0
C01,6725,C01_6725,No,0
D12,6725,D12_6725,No,0
D11,6725,D11_6725,No,0
D10,6725,D10_6725,No,0
D09,6725,D09_6725,No,0
D08,6725,D08_6725,No,0
D07,6725,D07_6725,No,0
D06,6725,D06_6725,No,0
D05,6725,D05_6725,No,0
D04,6725,D04_6725,No,0
D03,6725,D03_6725,No,0
D02,6725,D02_6725,No,0
D01,6725,D01_6725,No,0
E12,6725,E12_6725,No,0
E11,6725,E11_6725,No,0
E10,6725,E10_6725,No,0
E09,6725,E09_6725,No,0
E08,6725,E08_6725,No,0
E07,6725,E07_6725,No,0
E06,6725,E06_6725,No,0
E05,6725,E05_6725,No,0
E04,6725,E04_6725,No,0
E03,6725,E03_6725,No,0
E02,6725,E02_6725,No,0
E01,6725,E01_6725,No,0
F12,6725,F12_6725,No,0
F11,6725,F11_6725,No,0
F10,6725,F10_6725,No,0
F09,6725,F09_6725,No,0
F07,6725,F07_6725,No,0
F06,6725,F06_6725,No,0
F05,6725,F05_6725,No,0
F04,6725,F04_6725,No,0
F03,6725,F03_6725,No,0
F02,6725,F02_6725,No,0
F01,6725,F01_6725,No,0
G12,6725,G12_6725,No,0
G11,6725,G11_6725,No,0
G10,6725,G10_6725,No,0
G09,6725,G09_6725,No,0
G08,6725,G08_6725,No,0
G07,6725,G07_6725,No,0
G06,6725,G06_6725,No,0
G05,6725,G05_6725,No,0
G04,6725,G04_6725,No,0
G03,6725,G03_6725,No,0
G02,6725,G02_6725,No,0
