well,well_plate,Antibody,Gene,ENSG,U-2 OS (tpm),Gene desc,Results_final_update,Compartment
D07,D07_55185977,HPA004818,MCM6,ENSG00000076003,51.17,minichromosome maintenance complex component 6,negative,not found in excel lookup
E07,E07_55185977,HPA005487,TPX2,ENSG00000088325,187.77,"TPX2, microtubule-associated",ccd,nucleus
F07,F07_55185977,HPA005546,DLGAP5,ENSG00000126787,136.96,"discs, large (Drosophila) homolog-associated protein 5",ccd,Cell
G07,G07_55185977,HPA005653,MAFB,ENSG00000204103,0.31,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B,notccd,Nucleus
H07,H07_55185977,HPA005662,MIXL1,ENSG00000185155,0.02,Mix paired-like homeobox,negative,not found in excel lookup
A08,A08_55185977,HPA005679,HPGD,ENSG00000164120,0.23,hydroxyprostaglandin dehydrogenase 15-(NAD),ccd,Cell
B08,B08_55185977,HPA005685,ARMCX1,ENSG00000126947,10.49,"armadillo repeat containing, X-linked 1",notccd,Cell
C08,C08_55185977,HPA005761,ARMCX2,ENSG00000184867,73.03,"armadillo repeat containing, X-linked 2",notccd,Cell
D08,D08_55185977,HPA005856,TP53INP1,ENSG00000164938,6.2,tumor protein p53 inducible nuclear protein 1,negative,not found in excel lookup
E08,E08_55185977,HPA005946,CDKN1A,ENSG00000124762,87.57,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",notccd,Nucleus
F08,F08_55185977,HPA006009,ZFP36,ENSG00000128016,6.36,ZFP36 ring finger protein,notccd,Cell
G08,G08_55185977,HPA006050,TACC3,ENSG00000013810,96.72,"transforming, acidic coiled-coil containing protein 3",ccd,cytosol
H08,H08_55185977,HPA006081,MTMR10,ENSG00000166912,7.29,myotubularin related protein 10,notccd,Nucleus
A09,A09_55185977,HPA006145,ZNF226,ENSG00000167380,24.67,zinc finger protein 226,ccd,Nucleus
B09,B09_55185977,HPA006172,ZNF230,ENSG00000159882,3.19,zinc finger protein 230,notccd,Cell
C09,C09_55185977,HPA006191,CASP8,ENSG00000064012,18.7,"caspase 8, apoptosis-related cysteine peptidase",notccd,Cytosol
D09,D09_55185977,HPA006219,KIF2C,ENSG00000142945,129.76,kinesin family member 2C,ccd,Cell
E09,E09_55185977,HPA006303,MYT1,ENSG00000196132,0.35,myelin transcription factor 1,no variation,not found in excel lookup
F09,F09_55185977,HPA006458,TOP2A,ENSG00000131747,243.03,topoisomerase (DNA) II alpha,negative,not found in excel lookup
G09,G09_55185977,HPA006461,FASN,ENSG00000169710,109.12,fatty acid synthase,notccd,Cytosol
H09,H09_55185977,HPA006581,FEN1,ENSG00000168496,162.87,flap structure-specific endonuclease 1,notccd,Cell
A10,A10_55185977,HPA006607,PRRX2,ENSG00000167157,8.74,paired related homeobox 2,negative,not found in excel lookup
B10,B10_55185977,HPA006653,PKLR,ENSG00000143627,0,"pyruvate kinase, liver and RBC",notccd,Cytosol
C10,C10_55185977,HPA006672,ZKSCAN1,ENSG00000106261,24.45,zinc finger with KRAB and SCAN domains 1,ccd,nucleus
D10,D10_55185977,HPA006770,HOXA11,ENSG00000005073,14.93,homeobox A11,negative,not found in excel lookup
E10,E10_55185977,HPA006915,MDC1,ENSG00000137337,2.47,mediator of DNA-damage checkpoint 1,notccd,Nucleus
F10,F10_55185977,HPA006970,GPR160,ENSG00000173890,0.53,G protein-coupled receptor 160,negative,not found in excel lookup
G10,G10_55185977,HPA007082,NFRKB,ENSG00000170322,21.84,nuclear factor related to kappaB binding protein,ccd,nucleus
H10,H10_55185977,HPA007120,STK3,ENSG00000104375,11.84,serine/threonine kinase 3,negative,not found in excel lookup
A11,A11_55185977,HPA007191,CYTIP,ENSG00000115165,0.09,cytohesin 1 interacting protein,notccd,Cytosol
B11,B11_55185977,HPA007208,KANSL1,ENSG00000120071,15.3,KAT8 regulatory NSL complex subunit 1,notccd,Nucleus
C11,C11_55185977,HPA007301,CTTNBP2NL,ENSG00000143079,26.17,CTTNBP2 N-terminal like,no variation,not found in excel lookup
D11,D11_55185977,HPA007398,ACVR2B,ENSG00000114739,3.58,"activin A receptor, type IIB",notccd,Cell
E11,E11_55185977,HPA007484,ILF2,ENSG00000143621,320.37,interleukin enhancer binding factor 2,notccd,Nucleus
F11,F11_55185977,HPA007594,NELFE,ENSG00000204356,49.9,negative elongation factor complex member E,notccd,Cell
G11,G11_55185977,HPA007608,MGAT4A,ENSG00000071073,4.22,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A",negative,not found in excel lookup
H11,H11_55185977,HPA007615,IL18R1,ENSG00000115604,0.99,interleukin 18 receptor 1,notccd,Cell
A12,A12_55185977,HPA007643,CAPZA2,ENSG00000198898,15.88,"capping protein (actin filament) muscle Z-line, alpha 2",notccd,Cell
B12,B12_55185977,HPA007692,PCDHB14,ENSG00000120327,2.04,protocadherin beta 14,negative,not found in excel lookup
C12,C12_55185977,HPA007989,ALG5,ENSG00000120697,22.36,"ALG5, dolichyl-phosphate beta-glucosyltransferase",notccd,Cell
D12,D12_55185977,HPA008066,CALD1,ENSG00000122786,132.85,caldesmon 1,ccd,Cell
E12,E12_55185977,HPA008210,SEMA7A,ENSG00000138623,43.73,"semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)",negative,not found in excel lookup
F12,F12_55185977,HPA008356,RET,ENSG00000165731,0.27,ret proto-oncogene,notccd,Cell
G12,G12_55185977,HPA008398,SLC51B,ENSG00000186198,0.05,"solute carrier family 51, beta subunit",negative,not found in excel lookup
A01,A01_55195978,HPA008410,CKAP2,ENSG00000136108,65.19,cytoskeleton associated protein 2,notccd,Cell
B01,B01_55195978,HPA008419,BUB1B,ENSG00000156970,54.07,BUB1 mitotic checkpoint serine/threonine kinase B,ccd,cytosol
C01,C01_55195978,HPA008463,KLHDC8B,ENSG00000185909,18.47,kelch domain containing 8B,negative,not found in excel lookup
D01,D01_55195978,HPA008557,GRAMD1B,ENSG00000023171,1.29,GRAM domain containing 1B,no variation,not found in excel lookup
E01,E01_55195978,HPA008751,SMARCA5,ENSG00000153147,30.56,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",notccd,Nucleus
F01,F01_55195978,HPA008867,FBXL6,ENSG00000182325,17.16,F-box and leucine-rich repeat protein 6,ccd,nucleus
G01,G01_55195978,HPA008873,CCNB2,ENSG00000157456,140.42,cyclin B2,ccd,cytosol
H01,H01_55195978,HPA009137,ATP7B,ENSG00000123191,1.85,"ATPase, Cu++ transporting, beta polypeptide",negative,not found in excel lookup
A02,A02_55195978,HPA009300,CD93,ENSG00000125810,0.17,CD93 molecule,negative,not found in excel lookup
B02,B02_55195978,HPA009641,MASP1,ENSG00000127241,0.06,mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor),notccd,Cell
C02,C02_55195978,HPA010019,C1orf159,ENSG00000131591,9.55,chromosome 1 open reading frame 159,notccd,Cell
D02,D02_55195978,HPA010093,KIF11,ENSG00000138160,55.52,kinesin family member 11,ccd,cytosol
E02,E02_55195978,HPA010135,TNFRSF19,ENSG00000127863,0.63,"tumor necrosis factor receptor superfamily, member 19",notccd,Cell
F02,F02_55195978,HPA010574,SYT4,ENSG00000132872,0.13,synaptotagmin IV,no variation,not found in excel lookup
G02,G02_55195978,HPA010702,PRRG2,ENSG00000126460,0.74,proline rich Gla (G-carboxyglutamic acid) 2,notccd,nucleus
H02,H02_55195978,HPA010729,ABHD3,ENSG00000158201,18.88,abhydrolase domain containing 3,no variation,not found in excel lookup
A03,A03_55195978,HPA010775,PVRL4,ENSG00000143217,2.48,poliovirus receptor-related 4,notccd,Cell
B03,B03_55195978,HPA010819,BAMBI,ENSG00000095739,7.15,BMP and activin membrane-bound inhibitor,notccd,Nucleus
C03,C03_55195978,HPA010844,DHRS3,ENSG00000162496,2.83,dehydrogenase/reductase (SDR family) member 3,negative,not found in excel lookup
D03,D03_55195978,HPA010851,OSTM1,ENSG00000081087,10.31,osteopetrosis associated transmembrane protein 1,notccd,Cytosol
E03,E03_55195978,HPA011044,C2CD2L,ENSG00000172375,2.97,C2CD2-like,no variation,not found in excel lookup
F03,F03_55195978,HPA011046,MANEA,ENSG00000172469,7.64,"mannosidase, endo-alpha",negative,not found in excel lookup
G03,G03_55195978,HPA011082,MGAT5B,ENSG00000167889,21.09,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B",ccd,nucleus
H03,H03_55195978,HPA011101,SPINT2,ENSG00000167642,4.85,"serine peptidase inhibitor, Kunitz type, 2",notccd,Cell
A04,A04_55195978,HPA011216,CD207,ENSG00000116031,0.36,"CD207 molecule, langerin",notccd,Cell
B04,B04_55195978,HPA011351,SPINK5,ENSG00000133710,0.16,"serine peptidase inhibitor, Kazal type 5",no variation,not found in excel lookup
C04,C04_55195978,HPA011868,DKK3,ENSG00000050165,88.23,dickkopf WNT signaling pathway inhibitor 3,notccd,Cell
D04,D04_55195978,HPA011889,C1orf116,ENSG00000182795,0.4,chromosome 1 open reading frame 116,no variation,not found in excel lookup
E04,E04_55195978,HPA011894,NEGR1,ENSG00000172260,24.83,neuronal growth regulator 1,notccd,Cell
F04,F04_55195978,HPA012114,KDM7A,ENSG00000006459,1.11,lysine (K)-specific demethylase 7A,ccd,nucleus
G04,G04_55195978,HPA012319,MRPL52,ENSG00000172590,179.22,mitochondrial ribosomal protein L52,notccd,Cell
H04,H04_55195978,HPA012567,CYP26B1,ENSG00000003137,21.99,"cytochrome P450, family 26, subfamily B, polypeptide 1",notccd,Cytosol
A05,A05_55195978,HPA012611,THSD1,ENSG00000136114,1.88,"thrombospondin, type I, domain containing 1",notccd,Cytosol
B05,B05_55195978,HPA012613,SOS1,ENSG00000115904,16.9,son of sevenless homolog 1 (Drosophila),notccd,Nucleus
C05,C05_55195978,HPA012618,CA5B,ENSG00000169239,2.71,"carbonic anhydrase VB, mitochondrial",negative,not found in excel lookup
D05,D05_55195978,HPA012636,NUDT1,ENSG00000106268,214.9,nudix (nucleoside diphosphate linked moiety X)-type motif 1,notccd,Cytosol
E05,E05_55195978,HPA012720,PPIB,ENSG00000166794,833.76,peptidylprolyl isomerase B (cyclophilin B),notccd,Nucleus
F05,F05_55195978,HPA012739,PIGL,ENSG00000108474,6.71,"phosphatidylinositol glycan anchor biosynthesis, class L",notccd,Cell
G05,G05_55195978,HPA012896,C17orf80,ENSG00000141219,35.71,chromosome 17 open reading frame 80,negative,not found in excel lookup
H05,H05_55195978,HPA012921,IGSF10,ENSG00000152580,1.2,"immunoglobulin superfamily, member 10",notccd,Cell
A06,A06_55195978,HPA013341,SLC6A1,ENSG00000157103,0.02,"solute carrier family 6 (neurotransmitter transporter), member 1",notccd,Cell
B06,B06_55195978,HPA013569,ELL2,ENSG00000118985,28.63,"elongation factor, RNA polymerase II, 2",notccd,Nucleus
C06,C06_55195978,HPA013843,SLITRK5,ENSG00000165300,0.04,"SLIT and NTRK-like family, member 5",negative,not found in excel lookup
D06,D06_55195978,HPA013903,TIAM2,ENSG00000146426,16.37,T-cell lymphoma invasion and metastasis 2,notccd,Nucleus
E06,E06_55195978,HPA014091,F2RL1,ENSG00000164251,33.01,coagulation factor II (thrombin) receptor-like 1,negative,not found in excel lookup
F06,F06_55195978,HPA014179,LXN,ENSG00000079257,0.4,latexin,notccd,Cell
G06,G06_55195978,HPA014263,CNN1,ENSG00000130176,34.61,"calponin 1, basic, smooth muscle",notccd,Cell
H06,H06_55195978,HPA014659,UAP1,ENSG00000117143,106.02,UDP-N-acetylglucosamine pyrophosphorylase 1,notccd,Cell
A07,A07_55195978,HPA014711,EMP2,ENSG00000213853,34.3,epithelial membrane protein 2,notccd,Nucleus
B07,B07_55195978,HPA014745,LRRC8D,ENSG00000171492,10.46,"leucine rich repeat containing 8 family, member D",notccd,Nucleus
C07,C07_55195978,HPA014765,ITPR1,ENSG00000150995,3.34,"inositol 1,4,5-trisphosphate receptor, type 1",negative,not found in excel lookup
D07,D07_55195978,HPA014788,BVES,ENSG00000112276,0.05,blood vessel epicardial substance,ccd,Cell
E07,E07_55195978,HPA014836,MBOAT2,ENSG00000143797,8.11,membrane bound O-acyltransferase domain containing 2,negative,not found in excel lookup
F07,F07_55195978,HPA015061,KCNA10,ENSG00000143105,0.19,"potassium channel, voltage gated shaker related subfamily A, member 10",notccd,Nucleus
G07,G07_55195978,HPA015306,FAM174B,ENSG00000185442,1.75,"family with sequence similarity 174, member B",notccd,Cell
H07,H07_55195978,HPA015324,PRKX,ENSG00000183943,4.19,"protein kinase, X-linked",notccd,Nucleus
A08,A08_55195978,HPA015325,CDK17,ENSG00000059758,10.26,cyclin-dependent kinase 17,ccd,Cell
B08,B08_55195978,HPA015515,MAPKAPK5,ENSG00000089022,28.37,mitogen-activated protein kinase-activated protein kinase 5,ccd,Cell
C08,C08_55195978,HPA015551,ZBTB20,ENSG00000181722,2.29,zinc finger and BTB domain containing 20,ccd,nucleus
D08,D08_55195978,HPA015564,STXBP2,ENSG00000076944,23.22,syntaxin binding protein 2,notccd,Cytosol
E08,E08_55195978,HPA015800,DEPDC7,ENSG00000121690,10.85,DEP domain containing 7,ccd,nucleus
F08,F08_55195978,HPA015994,MGARP,ENSG00000137463,0.11,mitochondria-localized glutamic acid-rich protein,no variation,not found in excel lookup
G08,G08_55195978,HPA016758,DUSP10,ENSG00000143507,2.28,dual specificity phosphatase 10,notccd,Nucleus
H08,H08_55195978,HPA016840,FAM151A,ENSG00000162391,0.09,"family with sequence similarity 151, member A",notccd,Nucleus
A09,A09_55195978,HPA017071,DYSF,ENSG00000135636,3.9,dysferlin,notccd,Cell
B09,B09_55195978,HPA017168,PIP5K1C,ENSG00000186111,12.8,"phosphatidylinositol-4-phosphate 5-kinase, type I, gamma",notccd,nucleus
C09,C09_55195978,HPA017202,CACHD1,ENSG00000158966,7.68,cache domain containing 1,no variation,not found in excel lookup
D09,D09_55195978,HPA017286,STRN,ENSG00000115808,27.73,"striatin, calmodulin binding protein",notccd,Cytosol
E09,E09_55195978,HPA017288,STAC2,ENSG00000141750,0.34,SH3 and cysteine rich domain 2,notccd,Nucleus
F09,F09_55195978,HPA017299,LRCH3,ENSG00000186001,12.89,leucine-rich repeats and calponin homology (CH) domain containing 3,no variation,not found in excel lookup
G09,G09_55195978,HPA017327,PLK4,ENSG00000142731,25.67,polo-like kinase 4,negative,not found in excel lookup
H09,H09_55195978,HPA017636,SLITRK3,ENSG00000121871,0.31,"SLIT and NTRK-like family, member 3",notccd,Cell
A10,A10_55195978,HPA017888,TNNT2,ENSG00000118194,49.28,troponin T type 2 (cardiac),notccd,Nucleus
B10,B10_55195978,HPA017929,VRK1,ENSG00000100749,28.08,vaccinia related kinase 1,notccd,Nucleus
C10,C10_55195978,HPA017955,SHD,ENSG00000105251,0.08,Src homology 2 domain containing transforming protein D,no variation,not found in excel lookup
D10,D10_55195978,HPA017976,PCDH18,ENSG00000189184,4.61,protocadherin 18,notccd,Cell
E10,E10_55195978,HPA018032,SYPL2,ENSG00000143028,3.6,synaptophysin-like 2,no variation,not found in excel lookup
F10,F10_55195978,HPA018169,CCNE1,ENSG00000105173,98.06,cyclin E1,ccd,nucleus
G10,G10_55195978,HPA018193,NEK7,ENSG00000151414,54.14,NIMA-related kinase 7,negative,not found in excel lookup
H10,H10_55195978,HPA018418,IFT27,ENSG00000100360,9.62,intraflagellar transport 27,negative,not found in excel lookup
A11,A11_55195978,HPA018469,PDCL3,ENSG00000115539,47.41,phosducin-like 3,notccd,Cell
B11,B11_55195978,HPA018531,FOS,ENSG00000170345,5.96,FBJ murine osteosarcoma viral oncogene homolog,ccd,nucleus
C11,C11_55195978,HPA018944,WARS,ENSG00000140105,61.5,tryptophanyl-tRNA synthetase,notccd,Cytosol
D11,D11_55195978,HPA018981,ZNF200,ENSG00000010539,12.11,zinc finger protein 200,notccd,Cell
E11,E11_55195978,HPA018993,ETFA,ENSG00000140374,126.05,"electron-transfer-flavoprotein, alpha polypeptide",negative,not found in excel lookup
F11,F11_55195978,HPA019036,XK,ENSG00000047597,0.85,X-linked Kx blood group,notccd,Cell
G11,G11_55195978,HPA019039,TOP1,ENSG00000198900,75.24,topoisomerase (DNA) I,notccd,Nucleus
H11,H11_55195978,HPA019051,CCDC6,ENSG00000108091,35.18,coiled-coil domain containing 6,notccd,Cytosol
A12,A12_55195978,HPA019080,CAPG,ENSG00000042493,32.19,"capping protein (actin filament), gelsolin-like",ccd,nucleus
B12,B12_55195978,HPA019087,IFT81,ENSG00000122970,5.85,intraflagellar transport 81,no variation,not found in excel lookup
C12,C12_55195978,HPA019143,HCLS1,ENSG00000180353,2.04,hematopoietic cell-specific Lyn substrate 1,no variation,not found in excel lookup
D12,D12_55195978,HPA019223,NANS,ENSG00000095380,76.46,N-acetylneuraminic acid synthase,notccd,Cell
E12,E12_55195978,HPA019357,PPIE,ENSG00000084072,57.77,peptidylprolyl isomerase E (cyclophilin E),no variation,not found in excel lookup
F12,F12_55195978,HPA019467,TAGLN,ENSG00000149591,327.28,transgelin,notccd,Cell
G12,G12_55195978,HPA019473,TFG,ENSG00000114354,152.45,TRK-fused gene,notccd,Cell
A01,A01_55235979,HPA019515,IQCE,ENSG00000106012,16.59,IQ motif containing E,ccd,nucleus
B01,B01_55235979,HPA019678,UCHL3,ENSG00000118939,56.76,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase),notccd,nucleus
C01,C01_55235979,HPA019703,RBL2,ENSG00000103479,17.44,retinoblastoma-like 2,ccd,nucleus
D01,D01_55235979,HPA019765,GET4,ENSG00000239857,45.54,golgi to ER traffic protein 4,ccd,nucleus
E01,E01_55235979,HPA019785,SLC22A15,ENSG00000163393,2.92,"solute carrier family 22, member 15",notccd,Cell
F01,F01_55235979,HPA019869,GSTP1,ENSG00000084207,670.34,glutathione S-transferase pi 1,notccd,Cell
G01,G01_55235979,HPA019902,YIPF2,ENSG00000130733,16.34,"Yip1 domain family, member 2",notccd,Cell
H01,H01_55235979,HPA020043,DDX5,ENSG00000108654,382.31,DEAD (Asp-Glu-Ala-Asp) box helicase 5,notccd,Nucleus
A02,A02_55235979,HPA020066,PPM1K,ENSG00000163644,4.38,"protein phosphatase, Mg2+/Mn2+ dependent, 1K",notccd,Cell
B02,B02_55235979,HPA020068,NET1,ENSG00000173848,33.76,neuroepithelial cell transforming 1,ccd,nucleus
C02,C02_55235979,HPA020082,CCDC146,ENSG00000135205,0.44,coiled-coil domain containing 146,negative,not found in excel lookup
D02,D02_55235979,HPA020274,BCL9,ENSG00000116128,16.26,B-cell CLL/lymphoma 9,notccd,Nucleus
E02,E02_55235979,HPA020291,SLIRP,ENSG00000119705,392.35,SRA stem-loop interacting RNA binding protein,ccd,Cell
F02,F02_55235979,HPA020347,OGDH,ENSG00000105953,41.15,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),notccd,Cell
G02,G02_55235979,HPA020446,DRICH1,ENSG00000189269,2.01,aspartate-rich 1,notccd,nucleus
H02,H02_55235979,HPA020460,GCAT,ENSG00000100116,10.84,glycine C-acetyltransferase,ccd,Cell
A03,A03_55235979,HPA020461,KLHDC1,ENSG00000197776,1.49,kelch domain containing 1,notccd,Cytosol
B03,B03_55235979,HPA020518,SCIN,ENSG00000006747,0.93,scinderin,notccd,Cytosol
C03,C03_55235979,HPA020525,ADH4,ENSG00000198099,0.28,"alcohol dehydrogenase 4 (class II), pi polypeptide",no variation,not found in excel lookup
D03,D03_55235979,HPA020626,CCNA2,ENSG00000145386,113.49,cyclin A2,ccd,Cell
E03,E03_55235979,HPA020631,PTGES2,ENSG00000148334,47.32,prostaglandin E synthase 2,notccd,Cell
F03,F03_55235979,HPA020636,FAM71F1,ENSG00000135248,0.03,"family with sequence similarity 71, member F1",notccd,Cytosol
G03,G03_55235979,HPA020884,SOCS5,ENSG00000171150,20.84,suppressor of cytokine signaling 5,notccd,Cell
H03,H03_55235979,HPA020934,ASS1,ENSG00000130707,71.58,argininosuccinate synthase 1,notccd,Cell
A04,A04_55235979,HPA020965,HAUS6,ENSG00000147874,18.53,"HAUS augmin-like complex, subunit 6",notccd,Cytosol
B04,B04_55235979,HPA020981,NACAD,ENSG00000136274,0.08,NAC alpha domain containing,no variation,not found in excel lookup
C04,C04_55235979,HPA021036,KIAA0895,ENSG00000164542,3.61,KIAA0895,negative,not found in excel lookup
D04,D04_55235979,HPA021197,ZNF614,ENSG00000142556,8.08,zinc finger protein 614,notccd,Cytosol
E04,E04_55235979,HPA021242,C9orf78,ENSG00000136819,54.56,chromosome 9 open reading frame 78,notccd,Nucleus
F04,F04_55235979,HPA021293,OXSM,ENSG00000151093,12.33,"3-oxoacyl-ACP synthase, mitochondrial",notccd,Cell
G04,G04_55235979,HPA021501,DUSP19,ENSG00000162999,1.48,dual specificity phosphatase 19,ccd,nucleus
H04,H04_55235979,HPA021573,ZNF750,ENSG00000141579,0.07,zinc finger protein 750,notccd,Nucleus
A05,A05_55235979,HPA021594,ZNF286A,ENSG00000187607,18.96,zinc finger protein 286A,ccd,Nucleus
B05,B05_55235979,HPA021641,SGSM2,ENSG00000141258,22.69,small G protein signaling modulator 2,notccd,Cell
C05,C05_55235979,HPA021646,KIAA0368,ENSG00000136813,45.69,KIAA0368,notccd,Nucleus
D05,D05_55235979,HPA021756,EXOSC2,ENSG00000130713,45.87,exosome component 2,no variation,not found in excel lookup
E05,E05_55235979,HPA021844,LRSAM1,ENSG00000148356,8.18,leucine rich repeat and sterile alpha motif containing 1,no variation,not found in excel lookup
