Antibody RRID	Reliability (IF)
HPA000600: AB_1078081	Approved
CAB020685: , HPA035851: AB_10671942, HPA035852: AB_10672073	Approved
HPA017283: AB_1844452, HPA073225: 	Approved
HPA037658: AB_10672602, HPA058209: 	Approved
CAB008375: AB_592744, HPA029973: , HPA068407: 	Enhanced
HPA070567: 	Approved
CAB002686: , HPA027251: AB_1844453, HPA027280: AB_1844454, HPA028409: AB_10601011	Enhanced
CAB017106: , HPA001866: AB_1078082, HPA072754: 	Supported
HPA038951: AB_10673017, HPA038952: AB_10670915	Supported
HPA035808: AB_10601962	Uncertain
HPA003245: AB_1078083	Approved
HPA053618: , HPA054824: 	Approved
HPA030217: AB_10602335	Approved
HPA037654: 	Supported
HPA037591: AB_10671877, HPA037592: , HPA074089: 	Supported
HPA077039: 	Approved
HPA035022: AB_10669998, HPA035023: AB_10602104	Supported
HPA020065: AB_1844459, HPA030699: 	Enhanced
HPA068553: 	Approved
HPA050406: 	Supported
HPA019206: AB_1844965, HPA030130: AB_10601565	Approved
HPA011651: , HPA071871: 	Uncertain
HPA004334: AB_1078215	Approved
HPA023623: AB_1858273, HPA066431: 	Approved
HPA046590: 	Approved
HPA060662: 	Uncertain
HPA066071: , HPA068764: 	Supported
HPA038925: 	Approved
HPA037982: AB_10670535, HPA037983: 	Approved
HPA003150: AB_1080725, HPA018683: 	Uncertain
HPA047845: 	Uncertain
HPA042689: AB_10794385, HPA071867: 	Uncertain
HPA002907: AB_1847964, HPA051748: 	Uncertain
HPA041580: AB_10795700	Uncertain
HPA065685: 	Approved
HPA062474: 	Uncertain
HPA051993: 	Approved
HPA000634: AB_1079102, HPA001004: AB_1079104	Approved
HPA052730: , HPA056957: 	Uncertain
HPA046380: , HPA066668: 	Uncertain
HPA039310: 	Approved
HPA017653: AB_1847799, HPA030902: AB_10669872, HPA030903: AB_10964180	Approved
HPA003384: AB_1078234	Approved
HPA072209: 	Uncertain
HPA060092: 	Approved
HPA058202: 	Supported
HPA010814: AB_1078691	Uncertain
HPA068942: 	Approved
HPA038466: AB_10672646, HPA068007: 	Approved
HPA064479: 	Uncertain
HPA035944: AB_10670672, HPA036422: AB_10669987	Approved
CAB011512: AB_444319, HPA043640: , HPA046280: 	Supported
HPA041368: AB_10804001	Approved
HPA041368: AB_10804001	Approved
HPA043069: AB_10964127, HPA043603: AB_10963432	Uncertain
HPA046970: 	Uncertain
HPA057434: 	Approved
HPA004099: AB_1855353	Uncertain
HPA009065: AB_1857390	Approved
HPA052291: 	Approved
HPA053663: , HPA054913: , HPA066197: 	Enhanced
HPA073681: 	Approved
HPA053611: 	Uncertain
HPA073342: 	Approved
HPA019545: AB_1855796	Approved
HPA057442: 	Approved
HPA042720: AB_10961864	Approved
HPA057442: 	Uncertain
HPA047232: , HPA056268: 	Approved
HPA045307: AB_10961042	Approved
HPA053611: 	Approved
HPA053611: 	Approved
HPA022853: AB_1854099, HPA023043: AB_1854100, HPA023048: AB_2301950	Enhanced
HPA057442: 	Uncertain
HPA038748: , HPA038752: , HPA042595: , HPA043105: , HPA043692: , HPA044023: , HPA046971: , HPA058050: 	Approved
HPA055060: 	Approved
HPA006764: AB_1078085, HPA007244: AB_1078084	Enhanced
HPA042303: AB_10794046	Supported
CAB013715: , HPA036650: , HPA063018: 	Supported
HPA037716: AB_10673638, HPA046720: AB_2679773	Enhanced
HPA006198: AB_1078087, HPA026542: AB_1844469	Enhanced
CAB019284: , HPA004799: AB_1844471, HPA022271: AB_1844472	Enhanced
HPA041458: 	Supported
HPA019006: AB_1844478, HPA020595: AB_1844479	Supported
HPA075570: 	Approved
HPA034807: AB_10669896, HPA034808: AB_10673103	Approved
HPA049317: , HPA058381: 	Approved
HPA004428: AB_1078088, HPA007569: AB_1844482	Enhanced
CAB021106: AB_10058215, HPA025736: AB_1844487, HPA025765: AB_1844485, HPA025811: AB_1844488	Supported
HPA015594: AB_1844491	Supported
HPA051772: 	Approved
HPA011861: AB_1844493, HPA012145: AB_1844494	Enhanced
HPA028179: AB_10601788, HPA028457: 	Approved
HPA043326: , HPA062478: 	Approved
HPA018873: AB_1855273, HPA021654: AB_1855274	Approved
HPA049411: , HPA057660: 	Enhanced
CAB002426: AB_442052, CAB002921: , HPA029298: AB_10960255, HPA069790: 	Approved
HPA027098: 	Approved
HPA000657: AB_1078091	Supported
HPA013819: AB_1846126, HPA073493: 	Supported
HPA032003: , HPA049718: 	Supported
HPA054926: 	Approved
CAB007783: AB_562242, HPA022434: AB_1844513, HPA022953: AB_1844514, HPA022959: AB_1844515, HPA028758: AB_10603575	Supported
HPA019371: AB_1844519, HPA024157: AB_1844520	Supported
HPA001097: AB_1078092	Approved
HPA043705: 	Approved
HPA041047: 	Supported
HPA037723: AB_10672606, HPA037724: 	Approved
HPA019881: AB_1857978	Approved
HPA043705: , HPA060170: 	Approved
HPA025735: AB_1844523, HPA025762: AB_1844524	Supported
CAB010261: AB_2221664	Supported
HPA035533: AB_10696506	Approved
CAB021094: AB_10261667, HPA021192: AB_1844527, HPA021195: AB_1844528, HPA028759: AB_10601352	Approved
HPA038280: AB_10672623, HPA064845: AB_2685368	Approved
HPA035840: AB_10696514, HPA035841: AB_10671940	Approved
HPA035392: , HPA035393: 	Supported
HPA016754: AB_1844505	Approved
CAB002584: AB_564039, HPA057655: , HPA059463: 	Approved
HPA039081: AB_10670920, HPA039082: AB_10671036	Approved
CAB045955: AB_11124196, HPA041642: AB_2677593, HPA058869: AB_2683840	Approved
HPA043421: AB_10794182, HPA051013: 	Uncertain
HPA024693: 	Approved
HPA011316: AB_1844536, HPA011964: AB_1844537	Supported
HPA011315: AB_1848344, HPA071021: 	Approved
HPA000286: , HPA005552: AB_1078774	Approved
CAB035986: AB_941506, CAB062546: , HPA007162: AB_2667761	Supported
HPA041435: AB_10961121	Uncertain
HPA004141: AB_1078094	Approved
HPA039353: AB_2676460, HPA047956: AB_2680223, HPA061517: 	Approved
CAB000002: AB_2223500, CAB003761: AB_562031, CAB013531: , HPA041264: , HPA041271: 	Supported
CAB012188: AB_304125, HPA018671: 	Enhanced
HPA045126: AB_10961265	Approved
HPA027176: AB_1844553	Approved
CAB004303: AB_626633, HPA006035: AB_1078095	Approved
HPA006035: AB_1078095, HPA008315: AB_1844543	Uncertain
HPA006035: AB_1078095	Uncertain
HPA001873: AB_1078096, HPA006035: AB_1078095	Approved
HPA071251: 	Approved
CAB037193: AB_258253, HPA047443: 	Approved
HPA047443: 	Approved
CAB005083: AB_2221848, HPA015050: AB_1844556	Approved
HPA038587: AB_10670781, HPA038588: AB_10672719	Approved
HPA065236: 	Supported
HPA035817: AB_10671938, HPA035818: 	Approved
HPA007505: AB_1844752, HPA046514: 	Approved
CAB026126: , HPA063761: 	Approved
HPA046997: AB_10970077	Approved
CAB025115: , HPA007398: , HPA040384: 	Approved
HPA034944: AB_10669898	Approved
HPA035301: AB_10670291	Approved
CAB004307: AB_626634, HPA001399: AB_1078099, HPA023884: AB_1844573	Supported
HPA046215: , HPA048175: 	Approved
CAB001709: , HPA050670: 	Supported
HPA030866: , HPA030867: AB_10602428, HPA030868: 	Supported
HPA011633: AB_1844574, HPA072878: 	Uncertain
CAB025906: , HPA010738: AB_1078100, HPA051575: 	Supported
HPA055537: 	Approved
CAB079064: , HPA050325: 	Approved
HPA074034: 	Approved
HPA044156: AB_10796798, HPA062151: 	Approved
HPA067152: , HPA071758: 	Uncertain
HPA004000: AB_1844584	Approved
CAB016394: AB_626637, HPA031498: 	Approved
HPA035973: AB_10669663, HPA075079: 	Approved
HPA042014: , HPA042844: , HPA052077: 	Approved
HPA042867: AB_10794535	Approved
HPA067668: 	Approved
HPA062487: 	Approved
HPA044326: AB_10961006	Approved
HPA056171: , HPA058438: 	Approved
HPA028363: , HPA028444: AB_10601964	Approved
HPA021368: , HPA021369: 	Approved
CAB025876: , HPA051296: , HPA068374: 	Supported
CAB025996: , HPA005661: AB_1078101, HPA030906: , HPA030908: 	Supported
HPA045284: , HPA048453: 	Supported
HPA028567: AB_10599275, HPA028577: AB_10600330, HPA028601: 	Approved
HPA057437: , HPA074973: 	Approved
HPA045634: , HPA053812: 	Approved
HPA034773: AB_10601965, HPA034774: 	Approved
HPA006279: AB_1078102	Approved
HPA044050: AB_10962625	Approved
HPA007033: AB_1846529, HPA012049: AB_1846527	Supported
CAB056157: , HPA003890: AB_1078103, HPA051519: AB_2681520	Enhanced
HPA029645: AB_10602106	Supported
HPA040713: AB_10795371, HPA040903: AB_10794071	Supported
HPA035479: AB_10611672	Approved
HPA058899: 	Approved
HPA051012: , HPA055014: 	Approved
HPA036036: AB_10672078	Uncertain
HPA025692: AB_10599486, HPA028679: AB_10600226	Approved
CAB018364: AB_2223098, HPA068274: 	Approved
HPA017730: AB_1844595, HPA077682: 	Enhanced
CAB018365: AB_2257941	Approved
HPA041218: , HPA048241: 	Approved
HPA041328: , HPA044225: 	Approved
HPA030739: , HPA049877: 	Enhanced
CAB009794: AB_633663, HPA035873: AB_2674836, HPA035874: AB_2674837	Enhanced
CAB009796: AB_2223572, HPA034509: , HPA034510: 	Approved
CAB009797: AB_2223583, HPA035696: 	Supported
HPA036340: , HPA036341: AB_10672241	Uncertain
HPA052612: , HPA054617: 	Enhanced
HPA042395: AB_10796906	Approved
HPA055200: 	Uncertain
HPA013707: AB_1846345	Approved
HPA007131: AB_2667756, HPA007158: AB_1849254	Uncertain
HPA001478: AB_1078923, HPA050029: AB_2680996	Approved
HPA007133: AB_1849253	Approved
HPA043447: AB_2678486	Approved
HPA067503: 	Approved
CAB009562: AB_2257984, HPA047814: , HPA060902: 	Approved
HPA047814: , HPA060902: 	Approved
HPA047814: , HPA060902: 	Supported
HPA020525: AB_1844609	Uncertain
HPA039695: AB_10795681	Supported
HPA023062: AB_1844611	Approved
HPA035403: AB_10603576, HPA035404: 	Supported
HPA026810: 	Supported
CAB032876: AB_2242229, HPA038391: , HPA038409: AB_10675798	Supported
HPA006371: AB_1078105	Approved
HPA007126: AB_1080729	Approved
HPA044383: 	Supported
HPA073747: 	Uncertain
HPA045194: AB_10964638, HPA058525: 	Approved
CAB001701: , HPA036961: 	Approved
HPA066478: 	Approved
HPA026641: , HPA026739: , HPA027104: AB_10601330, HPA027141: AB_1844619	Enhanced
HPA074416: 	Supported
HPA003431: AB_1845333, HPA075322: 	Uncertain
HPA042266: AB_10794044	Supported
CAB019285: , HPA000525: AB_1078106	Enhanced
HPA024400: AB_1844623	Supported
HPA048113: 	Uncertain
CAB009966: AB_2225690, HPA047724: , HPA063595: , HPA064970: 	Supported
HPA020893: AB_2670528, HPA022282: 	Enhanced
HPA048599: AB_2756313	Supported
HPA049499: 	Supported
CAB024712: , HPA015642: AB_1844632	Supported
HPA037843: AB_10669990	Supported
CAB013496: , HPA030212: AB_10599291, HPA030213: AB_10601340, HPA030214: AB_10601005, HPA030215: AB_10601556, HPA049868: 	Enhanced
HPA069947: 	Approved
HPA044512: AB_10795984, HPA053379: 	Supported
HPA023690: AB_1844633, HPA029634: 	Supported
HPA030154: AB_10600769, HPA030155: AB_10601232, HPA030659: AB_10602415	Approved
HPA004479: AB_1078109, HPA004480: AB_1078108	Supported
HPA023861: AB_1844636, HPA026536: AB_1844637	Approved
CAB024283: AB_2650473, CAB025339: , HPA010607: AB_1078141, HPA023600: AB_1844769	Approved
HPA034990: AB_2674398, HPA034991: AB_10603577	Supported
HPA023474: AB_1855378, HPA075831: 	Supported
HPA020397: AB_2242453, HPA024150: AB_1844639	Uncertain
HPA030981: AB_10611673	Supported
CAB011682: AB_2258049, HPA064436: , HPA069474: 	Approved
HPA008741: AB_1850752	Supported
HPA020959: AB_1854206, HPA053471: 	Supported
HPA028498: AB_10600975, HPA054340: 	Supported
HPA057900: 	Uncertain
CAB019309: , HPA058075: 	Supported
HPA048342: , HPA075436: 	Supported
HPA048478: , HPA073355: 	Supported
HPA019544: AB_1844646	Approved
HPA053287: , HPA060525: 	Approved
HPA010644: AB_1844647, HPA010950: AB_1844648, HPA011646: 	Supported
HPA030209: AB_10600634, HPA030210: AB_10600202, HPA030211: AB_10602195	Enhanced
HPA007912: AB_1844879	Supported
HPA053942: 	Supported
HPA040090: AB_10805603	Supported
HPA057208: 	Approved
HPA003596: AB_1845163	Uncertain
HPA044120: AB_10960748	Supported
HPA035370: AB_10673218, HPA035371: AB_2674593	Supported
HPA031658: AB_10601968	Supported
HPA041225: AB_2677371, HPA044675: AB_2679041	Supported
HPA042589: AB_10793885	Supported
HPA053128: AB_2682050	Approved
HPA028648: AB_10599276, HPA028685: , HPA028691: AB_10601781	Supported
HPA031698: , HPA046684: 	Approved
HPA019010: AB_1844657, HPA019070: AB_1844656, HPA026643: AB_10670426	Enhanced
HPA000878: , HPA002940: AB_1859547, HPA004145: AB_1859546, HPA020111: 	Enhanced
CAB005072: AB_633731, HPA029722: AB_10599189, HPA029723: AB_10599025	Supported
HPA021483: AB_1855110	Supported
CAB006244: AB_425858, HPA000903: AB_1078112	Supported
CAB026209: , HPA001524: AB_1078851, HPA001525: AB_1078849	Enhanced
HPA027935: AB_10602226	Approved
HPA049234: , HPA062949: 	Uncertain
HPA028961: , HPA042309: AB_10796575, HPA075576: 	Supported
HPA001271: AB_1078114	Approved
HPA060766: 	Approved
HPA031365: AB_10601332, HPA040309: 	Supported
CAB017618: AB_2285445, HPA018476: AB_1848137	Enhanced
HPA019098: AB_1852040, HPA020057: AB_1852042	Approved
CAB033674: AB_2224981, CAB069477: AB_10002466, HPA050217: 	Supported
HPA026578: 	Uncertain
HPA021200: AB_10601695	Approved
HPA006171: AB_1852044	Approved
CAB009893: AB_2225151, HPA006456: AB_1078116	Supported
HPA063324: 	Supported
HPA042753: AB_2678146, HPA049461: AB_2680776	Supported
HPA019128: AB_1844682, HPA057255: 	Supported
CAB005361: AB_2302969, HPA070217: 	Supported
HPA030804: , HPA030805: , HPA031779: AB_10603674, HPA031781: , HPA036324: , HPA036711: 	Enhanced
CAB019286: , HPA008620: , HPA008691: AB_1078119	Supported
HPA028901: AB_10602227	Supported
HPA039089: AB_10674279	Approved
CAB026379: , HPA006344: AB_1078118, HPA056230: AB_2683073	Enhanced
HPA019773: AB_1844686	Supported
HPA043247: AB_10964776, HPA051020: 	Supported
CAB004308: AB_626655, HPA053891: 	Approved
HPA027172: AB_1844689, HPA027200: , HPA028327: AB_10601353	Approved
HPA004776: AB_1078122	Supported
HPA042485: AB_2678019, HPA042546: AB_2678046	Supported
CAB012909: AB_2533235, HPA008548: AB_1078121, HPA026109: AB_1844688	Enhanced
HPA061391: 	Supported
HPA051871: 	Approved
HPA064239: 	Supported
HPA052367: , HPA063993: 	Supported
CAB006246: AB_425840, HPA017919: AB_1844695, HPA019649: AB_1844696, HPA027734: AB_10600976	Supported
CAB027391: , CAB047353: , HPA026425: AB_10601563, HPA052751: 	Supported
CAB070163: AB_10008614, HPA020280: AB_10602228, HPA073633: 	Supported
HPA020280: AB_10602228, HPA073633: 	Supported
CAB047303: , HPA068265: 	Enhanced
CAB047304: , HPA068265: 	Approved
CAB010874: AB_476751, HPA068265: 	Approved
HPA044720: , HPA068265: 	Approved
HPA057002: 	Approved
HPA037821: , HPA037822: AB_10671722	Enhanced
CAB032587: AB_673379, CAB032841: AB_2224545, HPA064638: 	Supported
HPA064638: 	Approved
CAB003765: AB_562035, HPA002891: AB_1078123	Supported
CAB021903: , HPA043590: , HPA064427: 	Supported
CAB004204: AB_626659, HPA064521: 	Supported
CAB013090: AB_2533692, HPA026441: AB_1844711	Supported
HPA062394: 	Approved
HPA038474: AB_10672595	Supported
HPA026494: AB_1846321	Uncertain
HPA040981: AB_10673268	Uncertain
HPA019477: AB_1849890	Approved
HPA029803: AB_10601428	Approved
HPA059249: 	Approved
HPA041344: , HPA049132: , HPA054087: 	Approved
HPA027218: AB_10602586, HPA027381: AB_1858808, HPA044837: AB_10962496	Approved
HPA041188: AB_10794405, HPA078331: 	Approved
HPA044617: , HPA052450: 	Uncertain
HPA069617: 	Approved
HPA025961: 	Uncertain
HPA076857: 	Uncertain
HPA001813: AB_1080764, HPA068304: , HPA070714: 	Approved
HPA037826: , HPA037827: AB_10670959	Approved
HPA062669: 	Approved
HPA000951: , HPA001817: AB_1078779, HPA001832: AB_1078778	Approved
HPA001312: AB_1080206	Approved
CAB017498: AB_2225629, HPA035860: AB_10672992	Enhanced
CAB006262: AB_425297, HPA031024: AB_2673703, HPA031025: AB_2673704	Enhanced
HPA059488: 	Approved
HPA008333: AB_1078125, HPA012604: AB_1844721	Supported
CAB020690: , HPA002123: AB_1844722	Enhanced
HPA046271: AB_10965992, HPA064749: 	Supported
HPA021037: AB_1844724	Supported
HPA036900: AB_10672273, HPA050139: AB_2681031	Supported
HPA039481: AB_10795465, HPA059282: 	Enhanced
CAB045957: AB_11127164, HPA051150: , HPA063783: 	Supported
HPA029715: AB_10599994, HPA029716: AB_10601876	Supported
HPA029072: AB_10599176, HPA029073: AB_10601877, HPA029074: AB_10601000, HPA029075: AB_10602005	Enhanced
HPA023296: AB_1844738	Supported
HPA026292: AB_1844741, HPA055414: AB_2682810	Supported
HPA006077: , HPA010873: AB_1078126	Approved
CAB006252: AB_437007, HPA004177: AB_1078128	Supported
HPA004177: AB_1078128	Supported
CAB020828: , HPA003282: AB_1078130, HPA067442: 	Approved
HPA060392: 	Approved
HPA043329: , HPA063387: 	Approved
HPA043329: , HPA063387: 	Approved
HPA003076: , HPA051665: 	Approved
HPA031829: 	Approved
HPA060392: 	Uncertain
HPA041512: AB_10794380, HPA041601: AB_10794302	Enhanced
HPA007989: AB_1078132	Approved
HPA062536: 	Supported
HPA051898: 	Approved
HPA038575: AB_10672718	Approved
HPA010694: AB_1078133	Supported
HPA044087: , HPA060061: 	Supported
CAB011198: AB_261971, HPA045392: , HPA051976: 	Enhanced
HPA009674: AB_1850460, HPA046489: 	Supported
HPA007196: AB_1850461	Approved
HPA073835: , HPA074340: 	Supported
HPA008539: , HPA039571: AB_2676577, HPA039872: AB_10697710	Supported
HPA038724: , HPA038725: AB_10674838, HPA061514: 	Supported
HPA035276: , HPA035277: , HPA043200: AB_10796689	Enhanced
CAB019287: , HPA010691: AB_1844756, HPA064819: 	Supported
HPA024002: AB_1844757	Approved
HPA010562: 	Supported
HPA071285: 	Supported
HPA023120: AB_10959300, HPA078597: 	Approved
HPA038764: , HPA038765: , HPA051699: 	Approved
HPA027435: AB_10599614, HPA027443: AB_10599421	Approved
HPA027377: AB_10600635, HPA027976: AB_10611246, HPA028084: AB_10601996, HPA029801: AB_10602006	Approved
HPA026558: AB_1844774	Approved
CAB020829: , HPA007105: AB_1078137, HPA008765: AB_1078138	Approved
CAB026327: , HPA038764: , HPA038765: , HPA051699: 	Approved
CAB020698: , HPA038764: , HPA038765: , HPA051699: 	Approved
HPA046588: 	Approved
HPA035793: AB_10602429	Approved
HPA001598: AB_1078400, HPA018905: AB_1844783	Supported
HPA074290: 	Approved
HPA001903: 	Supported
CAB016281: AB_626667, HPA019799: AB_1844788, HPA061282: 	Enhanced
CAB001809: AB_2305454, HPA019527: AB_10669651, HPA020912: AB_10670034	Supported
HPA036099: 	Approved
CAB069436: AB_1611916, HPA001497: AB_1078144, HPA075585: 	Approved
CAB017825: , HPA038535: 	Approved
HPA029281: AB_10600101, HPA029282: AB_10599965	Approved
HPA039720: AB_10672967, HPA040149: 	Approved
HPA041184: AB_10803998, HPA041321: AB_10795588	Approved
HPA065214: , HPA065265: 	Supported
HPA045593: AB_10965021, HPA054230: 	Approved
CAB026381: , HPA029018: , HPA077835: 	Supported
HPA066973: 	Approved
HPA060228: , HPA069636: 	Approved
HPA046152: 	Approved
HPA054004: AB_2682339, HPA059601: 	Approved
HPA000590: , HPA051762: 	Approved
HPA000590: , HPA057234: 	Approved
HPA046157: AB_10965846, HPA062290: 	Approved
HPA067290: , HPA067853: 	Supported
HPA001196: AB_1078147	Approved
HPA063027: 	Approved
HPA027137: , HPA045760: , HPA050590: 	Enhanced
HPA038662: , HPA047408: 	Enhanced
CAB008559: AB_1611845, HPA019828: AB_1844801, HPA019829: AB_1844802	Supported
HPA005566: AB_1844811	Supported
HPA023299: AB_2226909, HPA052406: 	Supported
HPA036329: AB_10670714, HPA036330: , HPA042998: 	Approved
HPA044547: 	Approved
HPA021989: AB_1844915, HPA027838: AB_10600978	Enhanced
HPA046114: AB_10961429	Approved
HPA036596: AB_10671961	Approved
HPA037815: AB_10672288	Supported
CAB018692: AB_2258285, HPA066539: 	Enhanced
CAB032519: AB_2274023, HPA038395: AB_10794632, HPA038396: AB_10795356	Approved
HPA039457: AB_10795676, HPA039801: 	Approved
CAB009567: AB_2227137	Approved
HPA055896: 	Approved
HPA000948: AB_2227189	Approved
HPA030795: , HPA030796: AB_10600979	Supported
HPA040933: AB_10795530, HPA041299: AB_10794552	Approved
CAB033770: AB_2057427, HPA007879: AB_1078158	Approved
HPA042131: AB_10794413	Approved
CAB015178: AB_2242828, HPA008007: , HPA035970: 	Supported
CAB013249: AB_2533145, CAB015179: AB_633909, HPA038455: 	Supported
HPA036168: AB_10673345	Approved
HPA040757: AB_10960566	Approved
HPA041151: AB_10796569	Approved
HPA021566: AB_1844828, HPA022538: AB_1844829, HPA048953: 	Approved
HPA024513: AB_1844830, HPA024522: AB_10601453, HPA065849: 	Enhanced
HPA068104: 	Approved
HPA019358: AB_1844831, HPA021780: 	Supported
HPA026789: AB_10611675, HPA073498: 	Approved
HPA003602: AB_1858349, HPA074838: 	Supported
HPA026620: AB_1844834, HPA048869: 	Approved
HPA050447: , HPA067100: 	Approved
HPA003968: , HPA065263: 	Enhanced
HPA038736: 	Approved
CAB034211: AB_2058024, HPA038878: , HPA038879: 	Approved
CAB019288: , HPA049470: 	Enhanced
HPA040705: AB_10673301	Supported
HPA039488: AB_10673612, HPA043218: AB_2678367	Supported
HPA051886: AB_2681652, HPA063748: 	Supported
HPA039950: AB_10796337	Approved
HPA037920: AB_10671381, HPA037921: 	Approved
HPA045024: AB_10964778, HPA063731: 	Supported
HPA046346: , HPA046695: , HPA049923: , HPA051288: 	Supported
HPA046346: , HPA046695: , HPA049923: , HPA051288: 	Approved
HPA040842: AB_10963794, HPA040884: AB_10969453	Enhanced
HPA012922: AB_1844838	Approved
HPA036201: AB_10673347	Supported
HPA041534: , HPA048498: 	Uncertain
HPA040654: AB_10795370, HPA041460: AB_10795120	Approved
HPA042769: AB_10796584	Approved
HPA041272: AB_2677387, HPA049419: AB_2680757	Approved
HPA071849: 	Uncertain
HPA060455: , HPA071849: 	Uncertain
HPA056974: 	Approved
HPA029642: AB_10599277, HPA029643: AB_10601878	Enhanced
HPA043327: AB_10794180	Approved
HPA045329: 	Approved
HPA035453: AB_10672864	Approved
HPA051757: , HPA057661: 	Approved
HPA051757: , HPA057661: 	Approved
HPA051757: , HPA057661: 	Approved
HPA036626: AB_10671963, HPA058127: 	Supported
HPA042678: AB_10794532	Approved
HPA021668: AB_1844843, HPA021759: AB_2227411, HPA074884: 	Approved
HPA039917: AB_10672894	Approved
HPA030122: AB_10600980, HPA056549: 	Approved
HPA031655: AB_10610975, HPA031656: AB_10600331, HPA031657: AB_10602196	Approved
HPA013758: AB_10962626	Approved
HPA040273: AB_10674991, HPA048137: 	Approved
HPA044008: AB_10961996	Approved
HPA043815: AB_10961762	Approved
HPA071287: 	Approved
HPA051049: , HPA061649: 	Approved
CAB020693: , HPA035694: , HPA064642: 	Enhanced
HPA029511: AB_10602430, HPA050732: 	Enhanced
HPA065720: 	Approved
HPA043489: AB_10959304, HPA052941: 	Enhanced
HPA036768: AB_10670923, HPA036769: AB_10672473	Approved
HPA044628: , HPA078230: 	Supported
HPA041409: AB_10794375, HPA041482: AB_10795594	Supported
HPA043523: AB_10966687	Approved
HPA008355: AB_2058277	Approved
HPA035208: AB_10602229	Approved
CAB033902: AB_2058302, CAB062547: , CAB068175: , HPA005680: , HPA050556: 	Enhanced
HPA032148: , HPA057356: 	Supported
HPA016624: , HPA051569: 	Supported
HPA036276: AB_10670713, HPA057499: 	Supported
HPA038958: AB_10672835	Approved
HPA031787: , HPA049206: 	Uncertain
HPA039948: , HPA040112: 	Uncertain
CAB005231: AB_2289588, HPA063133: , HPA067561: 	Enhanced
HPA063133: , HPA067561: , HPA069657: 	Enhanced
HPA063133: , HPA067561: 	Enhanced
CAB021114: AB_10057407, HPA063133: , HPA067561: 	Enhanced
CAB002417: AB_563491, HPA004625: 	Supported
HPA054785: 	Uncertain
CAB013023: AB_2533983, CAB035987: , CAB058693: , HPA011271: AB_1844883, HPA011272: AB_1844884	Enhanced
HPA005469: AB_1844849	Approved
CAB004851: AB_626682, HPA027545: AB_1844851	Supported
