To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
11,C02,C02_6717,HPA016902,ENPP5,Q9UJA9,1.34,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000112796,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Cytosol,Nucleoplasm,,Nucleoplasm;Cytosol,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,6:Weak band of predicted size but with additional bands of higher intensity also present.
12,D02,D02_6717,HPA019880,CBLB,Q13191,2.90,Cbl proto-oncogene B,Cancer related proteins;Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000114423,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cytosol,Nucleoplasm,,Nucleoplasm,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
13,E02,E02_6717,HPA022021,EFTUD2,Q15029,102.01,elongation factor Tu GTP binding domain containing 2,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000108883,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 12: Uncertain (auto);Vesicles - 12: Uncertain (auto),2:Supportive,Nucleoplasm,Vesicles;Cytosol,,Nucleoplasm,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
14,F02,F02_6717,HPA022047,RNF4,P78317,32.80,ring finger protein 4,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000063978,Diana,,1000: Finished IF,Nuclear bodies - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Microtubule ends - 5: Approved (auto),2:Supportive,Nucleoplasm;Nuclear bodies,Microtubule ends,,Nuclear bodies,,,,7:Only bands not corresponding to the predicted size.,,
15,G02,G02_6717,HPA022261,CYP24A1,Q07973,16.98,cytochrome P450 family 24 subfamily A member 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000019186,Diana,,1000: Finished IF,Mitochondria - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Mitochondria,Nucleoplasm,,Mitochondria,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
16,H02,H02_6717,HPA025951,MRPL37,Q9BZE1,117.37,mitochondrial ribosomal protein L37,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Ribosomal proteins,ENSG00000116221,Diana,,1000: Finished IF,Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria,,,Mitochondria,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
17,A03,A03_6717,HPA026486,MPP2,Q14168,14.01,membrane palmitoylated protein 2,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas);SH3-domain containing proteins,ENSG00000108852,Diana,,1000: Finished IF,Mitochondria - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Mitochondria,Cytosol,,Mitochondria,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
18,B03,B03_6717,HPA027011,SLC35C2,Q9NQQ7,36.72,solute carrier family 35 member C2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Peptideatlas);Transporters,ENSG00000080189,Diana,,1000: Finished IF,Golgi apparatus - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Golgi apparatus,Nucleoplasm,,Golgi apparatus,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
19,C03,C03_6717,HPA027127,C1orf109,Q9NX04,20.19,chromosome 1 open reading frame 109,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000116922,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoli - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Cytosol,Nucleoplasm;Nucleoli,,Nucleoli,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
20,D03,D03_6717,HPA027883,CDK5RAP3,Q96JB5,39.65,CDK5 regulatory subunit associated protein 3,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000108465,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Vesicles - 5: Approved (auto),2:Supportive,Cytosol,Vesicles,,Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
21,E03,E03_6717,HPA028181,MAST1,Q9Y2H9,4.53,microtubule associated serine/threonine kinase 1,Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000105613,Diana,,1000: Finished IF,Vesicles - 8: Approved (?),3:Approved,Vesicles,,,Vesicles,,,,7:Only bands not corresponding to the predicted size.,,
22,F03,F03_6717,HPA029939,EIF3I,Q13347,269.83,eukaryotic translation initiation factor 3 subunit I,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000084623,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
23,G03,G03_6717,HPA030106,RWDD2A,Q9UIY3,1.70,RWD domain containing 2A,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000013392,Diana,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,Vesicles,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
24,H03,H03_6717,HPA030287,UFD1,Q92890,240.59,ubiquitin recognition factor in ER associated degradation 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000070010,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Nucleoplasm,Cytosol,,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
25,A04,A04_6717,HPA030676,MIPEP,Q99797,7.97,mitochondrial intermediate peptidase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000027001,Diana,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (?),2:Supportive,Mitochondria,,,Mitochondria,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
26,B04,B04_6717,HPA031067,PYGB,P11216,38.22,glycogen phosphorylase B,Candidate cardiovascular disease genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100994,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,Cytosol,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
27,C04,C04_6717,HPA031686,KYNU,Q16719,0.66,kynureninase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000115919,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cytosol,Nucleoplasm,,Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
28,D04,D04_6717,HPA034973,SLC6A12,P48065,0.53,solute carrier family 6 member 12,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000111181,Diana,,1000: Finished IF,Vesicles - 8: Approved (auto),3:Approved,Vesicles,,,Vesicles,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
29,E04,E04_6717,HPA035522,TRPM7,Q96QT4,13.00,transient receptor potential cation channel subfamily M member 7,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters;Voltage-gated ion channels,ENSG00000092439,Diana,,1000: Finished IF,Plasma membrane - 7: Approved (auto);Cytosol - 7: Approved (auto);Vesicles - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Plasma membrane,Nucleoplasm;Vesicles;Cytosol,,Vesicles;Plasma membrane;Cytosol,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.,6:Weak band of predicted size but with additional bands of higher intensity also present.
30,F04,F04_6717,HPA035740,MOXD1,Q6UVY6,16.58,monooxygenase DBH like 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000079931,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,Cytosol,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
31,G04,G04_6717,HPA036760,GCG,P01275,158.21,glucagon,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000115263,Diana,,1000: Finished IF,Endoplasmic reticulum - 8: Approved (auto);Vesicles - 8: Approved (auto),3:Approved,Endoplasmic reticulum,Vesicles,,Endoplasmic reticulum,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.
32,H04,H04_6717,HPA038011,BCCIP,Q9P287,121.46,BRCA2 and CDKN1A interacting protein,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000107949,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Nucleoplasm,Cytosol,,Nucleoplasm,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
33,A05,A05_6717,HPA039860,NRIP2,Q9BQI9,0.83,nuclear receptor interacting protein 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000053702,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto);Nuclear bodies - 7: Approved (auto),3:Approved,Nucleoplasm;Cytosol,Nuclear bodies,,Nucleoplasm;Nuclear bodies,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
34,B05,B05_6717,HPA041494,RIMBP2,O15034,0.57,RIMS binding protein 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);SH3-domain containing proteins,ENSG00000060709,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Golgi apparatus - 7: Approved (auto),3:Approved,Nucleoplasm,Golgi apparatus,,Nucleoplasm,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
35,C05,C05_6717,HPA043487,NSA2,O95478,68.17,"NSA2, ribosome biogenesis homolog",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Ribosomal proteins,ENSG00000164346,Diana,,1000: Finished IF,Nucleoplasm - 12: Uncertain (auto);Nucleoli - 3: Supportive (auto),4:Uncertain,Nucleoplasm,Nucleoli,,Nucleoplasm;Nucleoli,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
36,D05,D05_6717,HPA044653,SPI1,P17947,0.52,Spi-1 proto-oncogene,Cancer related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000066336,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
37,E05,E05_6717,HPA045598,IL4I1,Q96RQ9,1.13,interleukin 4 induced 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000104951,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Nucleoplasm,Cytosol,,Nucleoplasm,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.
38,F05,F05_6717,HPA049600,NOP53,Q9NZM5,156.88,NOP53 ribosome biogenesis factor,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000105373,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto),2:Supportive,Nucleoli,,,Nucleoli,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
39,G05,G05_6717,HPA050062,PLA2G4A,P47712,2.04,phospholipase A2 group IVA,Disease related genes;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);RAS pathway related proteins,ENSG00000116711,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,Cytosol,,,,7:Only bands not corresponding to the predicted size.,,
40,H05,H05_6717,HPA051349,DUSP18,Q8NEJ0,6.37,dual specificity phosphatase 18,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000167065,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
41,A06,A06_6717,HPA051690,KRR1,Q13601,25.51,"KRR1, small subunit processome component homolog",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000111615,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Cytokinetic bridge - 5: Approved (auto),2:Supportive,Nucleoli,Cytokinetic bridge,,Nucleoli;Cytokinetic bridge,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
42,B06,B06_6717,HPA051746,UBFD1,O14562,28.67,ubiquitin family domain containing 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000103353,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Nucleoli - 7: Approved (auto),3:Approved,Nucleoplasm,Nucleoli,,Nucleoplasm,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
43,C06,C06_6717,HPA051987,RPL19,P84098,2011.69,ribosomal protein L19,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Ribosomal proteins,ENSG00000108298,Diana,,1000: Finished IF,Nucleoli - 2 [7]: Supportive (auto);Cytosol - 2 [7]: Supportive (auto),2:Supportive,Nucleoli;Cytosol,,,Nucleoli,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
44,D06,D06_6717,HPA052185,BUD23,O43709,130.67,"BUD23, rRNA methyltransferase and ribosome maturation factor",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000071462,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Nucleoli - 3: Supportive (auto),2:Supportive,Nucleoplasm,Nucleoli,,Nucleoplasm;Nucleoli,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
