hgnc_symbol,gene_id
RNA5SP332,ENSG00000212365
RNU7-136P,ENSG00000238427
RN7SL296P,ENSG00000275090
,ENSG00000200049
,ENSG00000212293
,ENSG00000200262
RNU6-110P,ENSG00000207237
,ENSG00000206914
,ENSG00000273725
RNA5SP471,ENSG00000252780
,ENSG00000222649
,ENSG00000212604
,ENSG00000251967
RNU6-811P,ENSG00000206796
RNU6-146P,ENSG00000207332
RNU6-625P,ENSG00000238658
,ENSG00000201566
RNA5SP183,ENSG00000199322
,ENSG00000206951
,ENSG00000199349
RNU6-817P,ENSG00000212385
RNU6-1189P,ENSG00000206685
RNA5SP415,ENSG00000253055
RN7SL516P,ENSG00000242699
RNU1-32P,ENSG00000200807
RN7SL38P,ENSG00000240481
,ENSG00000201432
SNORD62B,ENSG00000231587
RN7SL470P,ENSG00000263669
MIR3115,ENSG00000263793
RNA5SP221,ENSG00000223203
,ENSG00000276596
RN7SL329P,ENSG00000242170
RN7SL856P,ENSG00000276653
MIR6735,ENSG00000274975
,ENSG00000201885
MIR5584,ENSG00000263381
RNU6-867P,ENSG00000201826
RNU6-359P,ENSG00000202336
SNORA74B,ENSG00000212402
MIR556,ENSG00000207729
RNA5SP48,ENSG00000200839
RN7SL238P,ENSG00000276891
SNORD66,ENSG00000212158
,ENSG00000273730
MIR1295B,ENSG00000283598
RNU7-87P,ENSG00000238500
RN7SL462P,ENSG00000276522
MIR4677,ENSG00000265201
,ENSG00000199977
RNU6-113P,ENSG00000252462
MIR1237,ENSG00000221273
,ENSG00000199474
,ENSG00000252692
MIR4691,ENSG00000284435
,ENSG00000201959
,ENSG00000274199
RNA5SP407,ENSG00000222207
RN7SL362P,ENSG00000242707
MIR4697,ENSG00000284020
RNA5SP296,ENSG00000222455
MIR3198-2,ENSG00000283803
,ENSG00000275745
RNA5SP206,ENSG00000252512
RN7SL803P,ENSG00000272197
MIR4496,ENSG00000284388
RNU6-1160P,ENSG00000207276
RNU6-185P,ENSG00000207150
MIR18A,ENSG00000283815
,ENSG00000275631
,ENSG00000222852
SNORD116-25,ENSG00000252326
,ENSG00000238804
MIR1469,ENSG00000283888
,ENSG00000201596
RNU6-19P,ENSG00000207449
MIR5587,ENSG00000266124
,ENSG00000207142
RNU6-57P,ENSG00000223280
,ENSG00000200620
RNU2-45P,ENSG00000251877
MIR3976,ENSG00000272380
,ENSG00000274915
RN7SL297P,ENSG00000240183
,ENSG00000206824
MIR526B,ENSG00000207580
,ENSG00000275266
,ENSG00000200822
MIR4779,ENSG00000265420
RNA5SP86,ENSG00000212171
,ENSG00000277968
MIR6811,ENSG00000277842
SNORD25,ENSG00000275043
SNORA3A,ENSG00000200983
MIR3617,ENSG00000266071
RNU6-154P,ENSG00000207033
MIR1257,ENSG00000284193
RNU6-112P,ENSG00000200469
MIR33A,ENSG00000207932
,ENSG00000278704
MIR4762,ENSG00000264160
,ENSG00000252398
MIR449C,ENSG00000251856
MIR6831,ENSG00000283717
MIR8056,ENSG00000274994
MIR550B1,ENSG00000283237
MIR4650-1,ENSG00000266525
MIR596,ENSG00000207826
MIR181A2,ENSG00000207595
MIR3689E,ENSG00000266827
RNU6-325P,ENSG00000223064
RNU6-450P,ENSG00000201524
MIR548F5,ENSG00000221348
,ENSG00000278782
RNU6ATAC41P,ENSG00000221527
MIR105-1,ENSG00000207957
RNA5SP319,ENSG00000199638
RNU6-984P,ENSG00000200106
RN7SL394P,ENSG00000239942
,ENSG00000278708
RNU1-30P,ENSG00000272020
RN7SL382P,ENSG00000240723
,ENSG00000273979
RN7SL517P,ENSG00000241939
RNU6-609P,ENSG00000202329
,ENSG00000202251
RNU6-983P,ENSG00000251813
RN7SKP224,ENSG00000201010
,ENSG00000213167
,ENSG00000276932
,ENSG00000199424
SNORA60,ENSG00000199266
RN7SL865P,ENSG00000240205
RNU6-1297P,ENSG00000207144
RNU6-559P,ENSG00000251960
,ENSG00000273974
,ENSG00000199867
RNU7-133P,ENSG00000238987
,ENSG00000212532
RNU6-619P,ENSG00000202016
,ENSG00000201297
,ENSG00000252505
RNU4-82P,ENSG00000199313
RN7SL262P,ENSG00000265033
RNU2-26P,ENSG00000222440
RNU6-462P,ENSG00000199529
,ENSG00000276871
,ENSG00000277001
RNU6ATAC23P,ENSG00000221375
RNA5SP139,ENSG00000201210
SNORD114-30,ENSG00000201318
,ENSG00000200553
RNU6-711P,ENSG00000253064
SNORD114-23,ENSG00000200406
RNU6-1046P,ENSG00000252347
,ENSG00000286094
RNU4-20P,ENSG00000202471
RN7SL178P,ENSG00000263616
,ENSG00000274742
RNU6-570P,ENSG00000252860
RN7SL678P,ENSG00000263969
RNU6-1200P,ENSG00000206889
,ENSG00000200834
SNORA77B,ENSG00000264346
,ENSG00000200685
RN7SL321P,ENSG00000277483
MIR604,ENSG00000207612
RN7SKP203,ENSG00000200488
MIR7856,ENSG00000278281
MIR6507,ENSG00000274056
MIR8070,ENSG00000278529
RNU6-366P,ENSG00000201097
RNU6-681P,ENSG00000200882
MIR4681,ENSG00000265719
MIR34C,ENSG00000207562
RNA5SP147,ENSG00000252302
MIR6747,ENSG00000276102
,ENSG00000202254
MIR17,ENSG00000284536
MIR5579,ENSG00000266570
RNY1P1,ENSG00000201242
RNU6-684P,ENSG00000222761
MIR4494,ENSG00000264906
MIR4504,ENSG00000264712
MIR3908,ENSG00000266655
MIR5701-1,ENSG00000266545
MIR15A,ENSG00000283785
,ENSG00000283636
MIR4509-3,ENSG00000263964
MIR7855,ENSG00000284269
MIR7-2,ENSG00000207703
,ENSG00000276017
RN7SL800P,ENSG00000242398
MIR329-1,ENSG00000207761
MIR635,ENSG00000207561
MIR656,ENSG00000207959
,ENSG00000212533
MIR1268B,ENSG00000265561
MIR4319,ENSG00000265957
MIR373,ENSG00000199143
RNU6-274P,ENSG00000239075
MIR5695,ENSG00000266721
MIR6804,ENSG00000275519
MIR515-1,ENSG00000207616
RNU6ATAC33P,ENSG00000221574
MIR4263,ENSG00000265321
MIR520A,ENSG00000207594
MIR6508,ENSG00000275523
,ENSG00000200742
MIR4782,ENSG00000265429
MIR1248,ENSG00000283958
RNU6-692P,ENSG00000207225
MIR572,ENSG00000207716
MIR6888,ENSG00000275141
MIR4275,ENSG00000283275
RNA5SP409,ENSG00000252624
MIR125B2,ENSG00000207863
MIR3945,ENSG00000266698
RNU6-700P,ENSG00000212345
MIR4638,ENSG00000264732
MIR4290,ENSG00000263967
MIR3654,ENSG00000284135
MIR6081,ENSG00000274115
RNU4-41P,ENSG00000201296
MIR548V,ENSG00000265520
MIR514A3,ENSG00000207867
MIR3150A,ENSG00000283522
MIR6895,ENSG00000276575
RNU6-499P,ENSG00000202485
MIRLET7F2,ENSG00000208012
,ENSG00000252408
RN7SKP39,ENSG00000222705
MIR92A2,ENSG00000284538
RN7SKP142,ENSG00000223168
SNORA53,ENSG00000212443
RNVU1-14,ENSG00000207501
,ENSG00000238813
,ENSG00000269103
RNU4-59P,ENSG00000201317
RNU6-513P,ENSG00000251913
RNA5SP320,ENSG00000252072
RNA5SP24,ENSG00000252287
SNORD12,ENSG00000212304
RN7SKP28,ENSG00000201640
RNA5SP169,ENSG00000253077
RNA5SP535,ENSG00000274097
RNU1-20P,ENSG00000200184
RNU6-285P,ENSG00000222488
RNU7-26P,ENSG00000238610
SNORA50A,ENSG00000281910
,ENSG00000278794
RN7SKP186,ENSG00000202241
,ENSG00000200448
RN7SL182P,ENSG00000241461
,ENSG00000206713
RNU6-926P,ENSG00000206802
RNU1-136P,ENSG00000206908
RNU6-1123P,ENSG00000199217
RN7SL623P,ENSG00000244501
RNU7-20P,ENSG00000251712
,ENSG00000206998
,ENSG00000207247
RNU7-141P,ENSG00000238777
RNA5SP459,ENSG00000252437
,ENSG00000212211
RNU6-483P,ENSG00000206815
RN7SL286P,ENSG00000277464
,ENSG00000201674
RNU7-157P,ENSG00000238431
,ENSG00000212342
SNORD6,ENSG00000202314
SNORD32A,ENSG00000201675
RN7SL188P,ENSG00000241943
,ENSG00000201071
RNA5SP488,ENSG00000201812
,ENSG00000201830
SNORA15B-2,ENSG00000206785
RN7SL531P,ENSG00000264071
RNU4ATAC12P,ENSG00000252269
,ENSG00000274197
RNU6-48P,ENSG00000206888
,ENSG00000222604
RN7SL12P,ENSG00000239553
RNVU1-2A,ENSG00000278099
,ENSG00000212448
,ENSG00000252852
RNU6-311P,ENSG00000252033
,ENSG00000199473
,ENSG00000200052
,ENSG00000207303
RNU6-738P,ENSG00000207261
RNU6-643P,ENSG00000206745
RNU6-1231P,ENSG00000252994
,ENSG00000283249
RN7SKP149,ENSG00000199878
RNU6-828P,ENSG00000201746
RNU6-378P,ENSG00000207052
RNU6-1053P,ENSG00000251739
RN7SL586P,ENSG00000241487
,ENSG00000252682
RN7SKP114,ENSG00000222259
,ENSG00000199633
RNU6-739P,ENSG00000212340
SNORA79B,ENSG00000222489
,ENSG00000199203
SNORD113-7,ENSG00000200632
RNU4-61P,ENSG00000223175
,ENSG00000275930
RNU6-545P,ENSG00000199551
RNU1-106P,ENSG00000207110
RNU6-1025P,ENSG00000222561
RNU7-161P,ENSG00000253098
MIR4425,ENSG00000264371
RN7SL628P,ENSG00000277467
RN7SL318P,ENSG00000242079
MIR4297,ENSG00000266676
RNU6-1148P,ENSG00000222924
RNA5SP212,ENSG00000212525
MIR3181,ENSG00000264947
RN7SL236P,ENSG00000243870
RNU7-57P,ENSG00000238365
MIR140,ENSG00000208017
MIR3972,ENSG00000266634
RNU1-155P,ENSG00000252135
MIR553,ENSG00000207750
MIR3678,ENSG00000264511
RN7SL67P,ENSG00000243854
RN7SL822P,ENSG00000239545
MIR205,ENSG00000284485
MIR371B,ENSG00000284568
RNU6-1277P,ENSG00000201431
SNORD45C,ENSG00000206620
MIR26A2,ENSG00000207789
MIR4757,ENSG00000266738
RNU6-632P,ENSG00000251711
RNU6-1267P,ENSG00000222679
MIR665,ENSG00000283159
MIR559,ENSG00000207923
MIR412,ENSG00000199012
,ENSG00000199444
RNU6-831P,ENSG00000207278
MIR4776-2,ENSG00000283637
MIR4538,ENSG00000263413
SNORD14C,ENSG00000202252
MIR4535,ENSG00000266887
RNU6-495P,ENSG00000199865
MIR4509-2,ENSG00000266039
SNORA80A,ENSG00000200792
MIR5572,ENSG00000284059
MIR26A1,ENSG00000199075
RNU7-7P,ENSG00000238606
,ENSG00000201987
MIR549A,ENSG00000208003
SNORD138,ENSG00000284078
MIR193A,ENSG00000207614
RNU2-49P,ENSG00000222598
,ENSG00000200305
MIR1289-2,ENSG00000221287
MIR4429,ENSG00000264010
RN7SL853P,ENSG00000274350
MIR6873,ENSG00000284517
,ENSG00000201723
MIR4267,ENSG00000265682
,ENSG00000223188
MIR6509,ENSG00000277138
MIR6810,ENSG00000278524
RN7SKP220,ENSG00000222543
RNA5SP446,ENSG00000251764
MIR548F4,ENSG00000221442
MIR941-2,ENSG00000216141
RNU6-307P,ENSG00000252552
MIR6841,ENSG00000283327
,ENSG00000200174
MIR885,ENSG00000216135
MIR660,ENSG00000207970
RNA5SP157,ENSG00000251816
MIR196B,ENSG00000283745
RNA5SP389,ENSG00000199480
RN7SKP284,ENSG00000222934
MIR3610,ENSG00000283956
RNU6-751P,ENSG00000252191
RN7SKP253,ENSG00000252233
MIR1302-7,ENSG00000221768
,ENSG00000200536
,ENSG00000275904
,ENSG00000274864
MIRLET7F1,ENSG00000199072
RN7SKP63,ENSG00000200057
RN7SKP289,ENSG00000253053
MIR361,ENSG00000199051
MIR513C,ENSG00000216171
RN7SKP19,ENSG00000251825
,ENSG00000273886
RNU6-376P,ENSG00000207462
RNA5SP482,ENSG00000212571
SNORD115-25,ENSG00000199489
,ENSG00000206645
,ENSG00000201867
SNORD116-3,ENSG00000207014
,ENSG00000252448
,ENSG00000202417
RNVU1-28,ENSG00000277918
RNA5SP123,ENSG00000200114
RNU6-252P,ENSG00000200102
RNU6-929P,ENSG00000207158
,ENSG00000207480
RNU6-87P,ENSG00000272028
,ENSG00000285626
SNORD70,ENSG00000212534
RN7SL424P,ENSG00000244034
RNA5SP344,ENSG00000223013
RNU6-1209P,ENSG00000200525
,ENSG00000212479
,ENSG00000199357
RN7SL76P,ENSG00000241959
RNU6-1285P,ENSG00000200350
RNA5SP412,ENSG00000277004
RNU6-976P,ENSG00000251895
,ENSG00000252045
RN7SKP254,ENSG00000222617
RN7SKP258,ENSG00000252960
,ENSG00000201245
RN7SL304P,ENSG00000242688
SCARNA18B,ENSG00000238754
RNA5SP243,ENSG00000252866
,ENSG00000276839
,ENSG00000278785
,ENSG00000207371
,ENSG00000277599
RNU6-1223P,ENSG00000252933
,ENSG00000201990
RNU6-1093P,ENSG00000212496
RNU6-1029P,ENSG00000206836
RNA5SP291,ENSG00000253031
RNY4P36,ENSG00000212418
RNU6-143P,ENSG00000252751
RNU6-551P,ENSG00000252470
RNU6-158P,ENSG00000252913
,ENSG00000278026
RNY3P7,ENSG00000206800
,ENSG00000252671
RNU6-1330P,ENSG00000199645
RNU6-1108P,ENSG00000252117
,ENSG00000274777
,ENSG00000199584
RN7SL705P,ENSG00000243549
SNORD56,ENSG00000229686
RNU6-1098P,ENSG00000252581
RN7SKP159,ENSG00000222589
,ENSG00000207193
RN7SL775P,ENSG00000243370
,ENSG00000275982
RNU6-275P,ENSG00000201780
RN7SL392P,ENSG00000242482
RN7SL666P,ENSG00000240639
,ENSG00000252802
RN7SKP89,ENSG00000222706
RNU6-805P,ENSG00000202513
,ENSG00000201827
RNU6-697P,ENSG00000200218
,ENSG00000221044
RN7SL65P,ENSG00000243770
,ENSG00000199894
RNU7-187P,ENSG00000238998
RNU6-368P,ENSG00000278551
RN7SL154P,ENSG00000264317
SNORA38,ENSG00000200816
,ENSG00000238440
,ENSG00000276609
RNA5SP165,ENSG00000252951
,ENSG00000201592
,ENSG00000277689
SNORA77,ENSG00000221643
RNU6-678P,ENSG00000252641
RN7SL398P,ENSG00000244356
,ENSG00000206779
SNORD14A,ENSG00000272034
RN7SKP110,ENSG00000222078
RNU6-360P,ENSG00000212246
RN7SKP2,ENSG00000252812
,ENSG00000207403
,ENSG00000202402
RN7SKP219,ENSG00000252634
RNU6-824P,ENSG00000200594
,ENSG00000276493
RN7SKP21,ENSG00000252312
,ENSG00000202190
RNA5SP130,ENSG00000201301
,ENSG00000252341
,ENSG00000200252
SNORA6,ENSG00000206760
,ENSG00000273846
RNU6-15P,ENSG00000207264
RNU6-1172P,ENSG00000202095
,ENSG00000202008
RN7SKP266,ENSG00000222164
,ENSG00000206711
RN7SL251P,ENSG00000244399
,ENSG00000275933
RNU6-204P,ENSG00000199335
SNORA51,ENSG00000271798
RN7SL520P,ENSG00000240199
,ENSG00000221345
,ENSG00000278838
,ENSG00000253013
RNU6-1270P,ENSG00000252937
RNA5SP368,ENSG00000201168
RN7SL814P,ENSG00000244326
,ENSG00000212165
RN7SL248P,ENSG00000274186
RN7SKP72,ENSG00000199197
,ENSG00000278700
RNA5SP186,ENSG00000252833
,ENSG00000200652
RNU7-37P,ENSG00000251707
RNU6-1225P,ENSG00000252145
,ENSG00000207148
RNU6-475P,ENSG00000251882
RNU6-1146P,ENSG00000252091
RNA5SP63,ENSG00000212527
,ENSG00000278592
RNU4-24P,ENSG00000201435
,ENSG00000206959
RNU6-961P,ENSG00000200763
RNA5SP138,ENSG00000201968
RN7SKP11,ENSG00000252827
RNU4-50P,ENSG00000201231
,ENSG00000280502
,ENSG00000199677
RNU6-313P,ENSG00000252126
,ENSG00000277374
RN7SL664P,ENSG00000265078
,ENSG00000222614
SNORD115-16,ENSG00000200757
SNORD69,ENSG00000212452
RNU6-234P,ENSG00000202099
RN7SL378P,ENSG00000265684
RN7SKP239,ENSG00000201684
SNORA25B,ENSG00000202377
RNU6-1331P,ENSG00000200528
RNA5-8SN1,ENSG00000278189
RNU6-9,ENSG00000207507
RN7SKP277,ENSG00000252704
RN7SKP190,ENSG00000251888
,ENSG00000222613
RNU6-1199P,ENSG00000223181
RNA5SP108,ENSG00000271924
,ENSG00000277948
,ENSG00000200750
RNU1-73P,ENSG00000206698
RNU7-29P,ENSG00000252429
RNU4-78P,ENSG00000222872
,ENSG00000200688
RNU6-610P,ENSG00000206991
,ENSG00000212512
SNORA14B,ENSG00000207181
,ENSG00000273975
RNA5SP477,ENSG00000199509
RNA5SP416,ENSG00000252647
RNA5SP479,ENSG00000201728
SNORA59A,ENSG00000239149
RNU6-369P,ENSG00000199385
RNA5SP500,ENSG00000201356
RN7SL792P,ENSG00000239888
RN7SL684P,ENSG00000243959
RN7SKP195,ENSG00000252396
RNU7-185P,ENSG00000239102
RNU6-1243P,ENSG00000200898
,ENSG00000207196
,ENSG00000252050
,ENSG00000199530
,ENSG00000201075
RN7SL817P,ENSG00000241791
,ENSG00000276988
RNA5SP65,ENSG00000200036
RNU6-68P,ENSG00000252385
,ENSG00000251864
RNA5SP406,ENSG00000251915
,ENSG00000201217
RN7SL285P,ENSG00000243313
,ENSG00000278020
RNU1-5P,ENSG00000277234
RNA5SP302,ENSG00000201766
,ENSG00000212378
RNU6-179P,ENSG00000200220
MIR6089,ENSG00000277120
,ENSG00000275586
MIR620,ENSG00000207967
,ENSG00000276100
MIR3165,ENSG00000263742
MIR6856,ENSG00000277713
RN7SKP37,ENSG00000201364
RN7SKP16,ENSG00000222112
SNORD108,ENSG00000239014
MIR4286,ENSG00000263762
SNORD82,ENSG00000202400
,ENSG00000252607
,ENSG00000263963
,ENSG00000207105
MIR4803,ENSG00000264099
RNU6-947P,ENSG00000252073
,ENSG00000274984
RN7SL473P,ENSG00000277452
,ENSG00000275231
MIR3650,ENSG00000265304
MIR4277,ENSG00000263746
RNU6-422P,ENSG00000207362
RNA5SP342,ENSG00000252902
,ENSG00000206741
MIR4448,ENSG00000263932
,ENSG00000238723
RNU6-998P,ENSG00000251703
MIR8076,ENSG00000275670
RNU4-81P,ENSG00000200431
,ENSG00000252250
RNU6-264P,ENSG00000252943
RNU6-1328P,ENSG00000222870
MIR711,ENSG00000284251
RN7SL413P,ENSG00000242893
RNA5SP521,ENSG00000252012
MIR499A,ENSG00000207635
RN7SKP238,ENSG00000252292
MIR7845,ENSG00000277590
RN7SKP267,ENSG00000222313
,ENSG00000201384
RN7SL88P,ENSG00000277062
RN7SKP91,ENSG00000222784
MIR4435-2,ENSG00000266139
RNA5-8SN2,ENSG00000278233
,ENSG00000201724
RNU7-174P,ENSG00000252057
MIR548S,ENSG00000265056
MIR518A2,ENSG00000207699
MIR518C,ENSG00000283490
RNU6-301P,ENSG00000207004
RN7SKP139,ENSG00000222343
,ENSG00000281072
RNU6-266P,ENSG00000201095
SNORD115-12,ENSG00000199453
MIR125A,ENSG00000208008
RNU6-1276P,ENSG00000202242
,ENSG00000277460
MIR8085,ENSG00000284258
,ENSG00000276642
MIR1203,ENSG00000221739
,ENSG00000276730
RN7SL541P,ENSG00000240250
,ENSG00000276138
MIR6862-1,ENSG00000275429
RN7SL303P,ENSG00000240116
RN7SL254P,ENSG00000240014
SNORD116-10,ENSG00000200661
MIR2276,ENSG00000252695
SNORD118,ENSG00000200463
,ENSG00000273499
RNU1-70P,ENSG00000199488
RNU6-331P,ENSG00000207455
,ENSG00000200170
RNU7-115P,ENSG00000252242
RNA5SP399,ENSG00000200873
RNU6-553P,ENSG00000200917
RNU2-59P,ENSG00000222414
RNU6-702P,ENSG00000201852
,ENSG00000276094
RNU6-964P,ENSG00000252333
MIR4641,ENSG00000266494
RNA5SP189,ENSG00000201790
RNU6-303P,ENSG00000252900
,ENSG00000283369
RN7SL242P,ENSG00000244389
FTHL18,ENSG00000243048
E2F6P4,ENSG00000231513
,ENSG00000259545
REG3G,ENSG00000143954
ALDOC,ENSG00000109107
HEMK1,ENSG00000114735
TM4SF19,ENSG00000145107
FGF7,ENSG00000140285
CHRAC1,ENSG00000104472
FBXO30,ENSG00000118496
ZP4,ENSG00000116996
,ENSG00000248459
KLRC1,ENSG00000134545
,ENSG00000284731
,ENSG00000249869
